feature,importance
num__missingindicator_fin_EBITDA_margin,0.00044780876
num__fin_solvency_ratio_asset_based,0.00044552895
num__fin_roe_net_income,0.00043875683
cat__contract_commodity_Cleaning Unclassified,0.0004376668
cat__expiry_pressure_bucket_5y_plus,0.00043375895
num__fin_long_term_gearing,0.00042325436
cat__fin_Implied_rating - original_Baa1,0.00041102807
cat__fin_closing_date_2022-12-31,0.00040724268
num__esg_esg_overall,0.00040706163
num__missingindicator_fin_long_term_gearing,0.00039669403
cat__nn_contract_type_Confidentiality Agreement,0.0003943965
cat__contract_commodity_Distributor Delivery,0.00039183768
num__Infrastructure,0.00038661328
num__market_flag_negative_price_trend,0.00037836778
num__fin_flag_low_solvency,0.00035980958
cat__payment_terms_F030 Invoice Date + 30 days,0.00035629654
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.00034006138
cat__nn_contract_type_Distributor Agreement,0.00032540158
num__fin_flag_strong_liquidity,0.0003223827
num__fin_profit_margin,0.00031918677
cat__nn_contract_type_Freight Forwarder Agreement,0.0003181627
num__missingindicator_PPI_Value,0.0003155028
cat__contract_commodity_Excipients,0.0003140012
cat__contract_commodity_Moulding Tools Unclassified,0.00029498944
num__fin_ebit_margin,0.00028895473
num__esg_gov_score,0.00028782204
cat__payment_terms_F060 Invoice Date + 60 days,0.0002805684
num__vol_stability_score,0.00028041188
cat__team_Raw Materials & Energy,0.00027687434
cat__fin_moodys_company_name_Novartis Pharma AG,0.00027456987
num__fin_interest_coverage_ratio_missing_flag,0.00026673742
num__market_cap_volatility,0.00023903519
cat__fin_moodys_company_name_Merck Life Science A/S,0.00023619336
cat__company_country_DENMARK,0.00023598754
num__fin_gearing,0.0002318434
num__avg_vol,0.00023028805
"cat__contract_type_Finance, Legal & Procurement",0.00022356374
cat__contract_type_Distribution,0.00021982126
num__fin_roa_net_income,0.00021950033
cat__moodys_risk_rating_Do not source,0.00021731156
cat__fin_moodys_company_name_Linde Gas A/S,0.00021243727
num__missingindicator_fin_Number_of_employees,0.0002037417
num__fin_EBITDA_margin,0.00020128429
num__missingindicator_vol_stability_score,0.00018219804
cat__fin_Status_Dissolved,0.00017667779
cat__Risk level_Take caution,0.00017578686
cat__fin_risk_level_Go ahead,0.0001729269
cat__fin_Implied_rating - original_Ba2,0.00016886259
cat__contract_commodity_Cartons,0.00016571635
cat__fin_moodys_company_name_Lonza Sales AG,0.00016496233
cat__nn_contract_type_Framework Trading Agreement,0.00016422631
cat__payment_terms_F015 Invoice Date + 15 days,0.00016376634
num__vol_trend_slope,0.00014474137
cat__fin_closing_date_2021-12-31,0.00013783606
cat__nn_contract_type_Basic Terms Agreement,0.00013478941
cat__fin_Implied_rating - original_A1,0.00012410874
cat__department_from_cost_center_Bioprocessing & Raw Materials,0.000117191
"cat__fin_moodys_company_name_Cytiva, Filial af Cytiva Europe GmbH, Tyskland",0.00011672514
cat__fin_Status_Active,0.00011564234
cat__team_BF Integration,0.000115454095
num__Earnings_per_share_DKK,0.00011520556
num__fin_Net_assets_turnover,0.000113282
cat__fin_closing_date_2025-12-31,0.00011204314
cat__fin_moodys_company_name_Smurfit Westrock Danmark A/S,0.00011065738
cat__fin_moodys_company_name_Sonderborg Vaerktojsfabrik A/S,0.00010747085
cat__moodys_risk_rating_Go ahead,0.00010314624
cat__contract_commodity_Ocean Transportation,0.0001029517
num__esg_below_industry_min,0.00010131996
cat__contract_commodity_Waste Management,9.975349e-05
cat__fin_Implied_rating - original_Aa2,9.969718e-05
cat__company_country_clean_Denmark,9.8061806e-05
num__missingindicator_fin_interest_coverage_ratio,9.7033066e-05
cat__supplier_sector_Wholesale,9.566239e-05
cat__fin_closing_date_2025-03-31,9.3668394e-05
cat__fin_moodys_company_name_Zirq Cables AS,9.247092e-05
cat__fin_closing_date_2024-12-31,9.2279595e-05
cat__supplier_sector_Utilities,9.095749e-05
cat__company_country_BRAZIL,9.087672e-05
num__market_flag_negative_eps,9.070786e-05
cat__fin_moodys_company_name_Novo Nordisk Production Belgium SA,8.785291e-05
cat__fin_Implied_rating - original_B2,8.382947e-05
cat__contract_currency_code_CHF,8.286161e-05
num__price_volatility_score,8.1804385e-05
num__price_trend_slope,7.965278e-05
cat__contract_commodity_Sterilization,7.899734e-05
cat__contract_commodity_Other Warehousing,7.722839e-05
cat__contract_currency_code_CNY,7.53081e-05
cat__fin_moodys_company_name_Agilent Technologies Denmark ApS,7.432815e-05
cat__Code_DNK,6.892902e-05
cat__supplier_sector_Business Services,6.73447e-05
cat__fin_moodys_company_name_Elis Danmark A/S,6.6153225e-05
cat__fin_implied_rating_A,6.559293e-05
cat__fin_closing_date_2023-06-30,6.558502e-05
cat__fin_output_text_Approved for sourcing. No further actions required.,6.544634e-05
"cat__fin_output_text_Sourcing exclusion recommended. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",6.516571e-05
num__avg_closing_price,6.475859e-05
cat__fin_moodys_company_name_SPS Medical,6.2934276e-05
cat__contract_commodity_Packaging Lines,6.1737366e-05
cat__fin_moodys_company_name_W. R. Grace & Co.-Conn.,6.158325e-05
cat__fin_moodys_company_name_Deloitte Statsautoriseret Revisionspartnerselskab,6.107636e-05
cat__nn_contract_type_Service Agreement,6.0889473e-05
num__fin_flag_long_term_liab_equity_high,6.0600243e-05
cat__fin_moodys_company_name_ICM A/S,5.9969385e-05
cat__fin_closing_date_2022-06-30,5.319052e-05
cat__contract_commodity_Warehouse Operations - Inbound,5.2834544e-05
cat__fin_moodys_company_name_Va-Q-Tec AG,5.263316e-05
num__missingindicator_contract_value_dkk,5.2407246e-05
cat__Current_market_capitalisation_DKK_29.786.781,5.1055813e-05
cat__contract_commodity_Side Chains Unclassified,5.0620645e-05
cat__fin_moodys_company_name_Synoptik A/S,5.029546e-05
cat__nn_contract_type_Outsourcing Agreement,4.957529e-05
cat__supplier_sector_Retail,4.2137894e-05
cat__fin_moodys_company_name_Almac Group Limited,4.108919e-05
cat__fin_moodys_company_name_Becton Dickinson Denmark A/S,4.0790605e-05
cat__fin_moodys_company_name_AVISTA Green ApS,3.8951126e-05
cat__company_country_SWEDEN,3.8125305e-05
cat__fin_moodys_company_name_Ypsomed AG,3.739432e-05
cat__supplier_sector_Waste Management & Treatment,3.5900994e-05
cat__fin_moodys_company_name_F.I.S. Fabbrica Italiana Sintetici S.P.A.,3.208938e-05
cat__contract_commodity_Personal Safety (PPE),3.0776475e-05
num__vol_shock_ratio,2.9402718e-05
cat__fin_risk_level_Do not source,2.8036893e-05
num__missingindicator_LPI_Score,2.5302477e-05
cat__nn_contract_type_Work Order,2.445264e-05
"cat__supplier_sector_Industrial, Electric & Electronic Machinery",2.1807242e-05
cat__contract_commodity_Outsourced GMP Laboratory Analysis,1.8911718e-05
num__missingindicator_fin_Cash_ratio,1.8411432e-05
cat__fin_Implied_rating - original_Baa2,1.8133487e-05
cat__fin_financial_level_Medium financial risk,1.6869155e-05
cat__contract_type_Facility Management & Engineering,1.6807608e-05
cat__incoterms_EXW Ex works,1.6210743e-05
cat__department_Raw Materials & Energy,1.50493215e-05
cat__contract_commodity_Other Clinical Services',1.3345155e-05
"cat__contract_commodity_Glass (Syringes, Vials, Cartridges)",1.0395994e-05
num__esg_industry_min,8.392512e-06
num__market_log_vol_shock_ratio,7.2511248e-06
cat__payment_terms_L060 Current Month + 60 days,4.761282e-06
cat__payment_terms_L045 Current Month + 45 days,3.750867e-06
cat__contract_commodity_Support Proteins and BIO APIs Unclassified,6.729814e-07
cat__incoterms_DDU Delivered duty unpaid,1.9347958e-07
cat__fin_moodys_company_name_Sartorius Stedim UK Limited,0.0
cat__fin_moodys_company_name_Quality Assistance,0.0
cat__fin_moodys_company_name_Zirq Medical A/S,0.0
