model,rmse,mae,r2,pred_mean,true_mean,condition
Mean Predictor_C_hybrid,0.48145175404163243,0.48023282694787367,-0.23624422117207744,0.5395343461042527,0.75,C_hybrid
Elastic Net_C_hybrid,0.30556376906387206,0.19711819876524395,0.5020308428558968,0.69585116208949,0.75,C_hybrid
XGBoost_C_hybrid,0.2961395371609369,0.13936664577340707,0.5322739974938993,0.7748438533744775,0.75,C_hybrid
