department,n_total_rows,n_pos_rows,n_neg_rows,n_total_contracts,n_pos_contracts,n_neg_contracts,pos_rate_rows,pos_rate_contracts,remaining_contracts_after_support,enough_pos_for_support,enough_neg_for_support,enough_total_for_query,valid_department,validity_reason
Logistics,57,36,21,10,5,5,0.631578947368421,0.5,8,True,True,True,True,valid
Devices & Needles,23,15,8,7,5,2,0.6521739130434783,0.7142857142857143,5,True,True,True,True,valid
"Quality, Production Services & Supplies",20,0,20,5,0,5,0.0,0.0,3,False,True,True,False,insufficient_positive_contracts_for_support
Drug Product Outsourcing,10,4,6,5,3,2,0.4,0.6,3,True,True,True,True,valid
Raw Materials & Energy,19,18,1,4,3,1,0.9473684210526315,0.75,2,True,True,True,True,valid
Drug Substance Outsourcing,11,3,8,4,1,3,0.2727272727272727,0.25,2,True,True,True,True,valid
Bioprocessing and Excipients,19,13,6,3,2,1,0.6842105263157895,0.6666666666666666,1,True,True,True,True,valid
"Alliance, Acquisitions & PPM CoE",21,11,10,2,1,1,0.5238095238095238,0.5,0,True,True,False,False,insufficient_query_contracts
