epoch,train_loss,val_loss,val_rmse,val_mae
1,0.6552257673180747,0.6356558086308384,0.09871736999916537,0.07832856476306915
2,0.6369963795869065,0.6385623785996198,0.09507639674149516,0.07364635914564133
3,0.6340383435725774,0.6345004477018805,0.09010811452081567,0.06778919696807861
4,0.6323752368812331,0.6453551588528027,0.08940319704372031,0.06704407930374146
5,0.6320633674869469,0.6297131267392428,0.08341810142026018,0.06206491217017174
6,0.6303254582724549,0.6391132055865645,0.08521613893610984,0.06201458349823952
7,0.6290131648152993,0.630228663350859,0.0817463132542071,0.05888347327709198
8,0.6285728669532258,0.6283478376864131,0.07935492828733405,0.05899796262383461
9,0.627017324785767,0.6382563896026029,0.07677009316839835,0.056091565638780594
10,0.6263625579512436,0.6311799386038537,0.07702142787276874,0.053908128291368484
11,0.6265071597337004,0.6388348619394267,0.07404976354005204,0.054085858166217804
12,0.6259837916732586,0.6253425889482243,0.07132107525402061,0.051590096205472946
13,0.6250216653659814,0.6336129544407773,0.06928382177530779,0.0489642396569252
14,0.6247404109155011,0.6330210779954911,0.06975343090381832,0.04920696094632149
15,0.6245906663672365,0.6270379953914218,0.0680217511607799,0.04868568480014801
16,0.6241260492550252,0.6312301548108608,0.06802626237384891,0.047278862446546555
17,0.6239692708525845,0.6248102090495583,0.06914181802550098,0.04738028720021248
18,0.623710718637491,0.623387830893952,0.06486257989211905,0.045531705021858215
19,0.6232816458760598,0.6247428901073743,0.06677618487084155,0.04725215584039688
20,0.6230200722066711,0.6228972845105135,0.06306337714932093,0.04455847293138504
21,0.6229668894848475,0.6251246097402989,0.06449740146168143,0.04415745660662651
22,0.6225986405288771,0.6230045375603007,0.06323418191352927,0.04389055445790291
23,0.622511410461782,0.6301856260352413,0.06548792112247463,0.043848633766174316
24,0.6221329278894987,0.6227269563441404,0.0623758506055161,0.04327737167477608
25,0.6219988911976654,0.6232203328967283,0.06371937673657121,0.04467093572020531
26,0.6219640503971912,0.6265181207920515,0.06390557564493869,0.04444050043821335
27,0.6217764014415432,0.6249655197330874,0.061065925471803936,0.04118138924241066
28,0.6217781173565785,0.6220524135296316,0.059923932060086164,0.040114209055900574
29,0.6217878164085288,0.6246209560475141,0.060914416097975065,0.0398748554289341
30,0.6215230016569934,0.6236080182358238,0.06114371182777226,0.03949439153075218
31,0.621493013598631,0.6252246114566113,0.060966361375921714,0.039728693664073944
32,0.6229158150630597,0.6230998515706115,0.0629214812338183,0.040122926235198975
33,0.6219116837904571,0.6218873758326084,0.05937843610834528,0.038880057632923126
34,0.621958670388245,0.6220424133517228,0.05989623609524912,0.039880987256765366
35,0.6217864993760698,0.6241551591196206,0.06181956165631005,0.03935934230685234
36,0.6215286575190435,0.6236189024080535,0.06270023769272957,0.04226117953658104
37,0.62129373261126,0.6220681095449719,0.059955514280491985,0.03890054300427437
38,0.6212531295386905,0.6243049042547546,0.06029088371064948,0.03754649683833122
