method,AUROC,Log-Loss,ECE,NDCG@10
anil,0.500 ± 0.000,5.205 ± 3.252,0.283 ± 0.177,0.850 ± 0.078
finetune,0.500 ± 0.000,5.205 ± 3.252,0.283 ± 0.177,0.850 ± 0.078
fomaml,0.500 ± 0.000,5.205 ± 3.252,0.283 ± 0.177,0.850 ± 0.078
maml,0.500 ± 0.000,5.205 ± 3.252,0.283 ± 0.177,0.850 ± 0.078
