method,AUROC,Log-Loss,ECE,NDCG@10
anil,0.583 ± 0.206,1.924 ± 1.896,0.418 ± 0.219,0.898 ± 0.089
finetune,0.587 ± 0.244,1.578 ± 1.079,0.328 ± 0.179,0.865 ± 0.123
fomaml,0.564 ± 0.232,4.226 ± 3.760,0.546 ± 0.275,0.897 ± 0.075
maml,0.536 ± 0.213,5.173 ± 6.064,0.471 ± 0.289,0.867 ± 0.127
