feature,importance
num__fin_EBITDA_margin,0.0
num__fin_ebit_margin,0.0
num__fin_current_ratio,0.0
num__fin_gearing,0.0
num__fin_long_term_gearing,0.0
num__esg_esg_overall,0.0
num__fin_Total_liabilities_Equity_ratio,0.0
num__fin_short_term_liabilities_equity_ratio,0.0
num__fin_interest_coverage_ratio,0.0
num__fin_solvency_ratio_asset_based,0.0
num__fin_debt_asset_ratio,0.0
num__fin_roe_net_income,0.0
num__fin_roa_net_income,0.0
num__fin_Net_assets_turnover,0.0
num__fin_Number_of_employees,0.0
num__fin_financial_risk_score,0.0
num__avg_closing_price,0.0
num__price_trend_slope,0.0
num__news_data_available,0.0
num__market_flag_negative_52w_price_trend,0.0
num__fin_flag_negative_roe,0.0
num__fin_flag_negative_roa,0.0
num__fin_total_stress_flags,0.0
num__fin_flag_multiple_financial_stress_signals,0.0
num__fin_flag_severe_financial_stress,0.0
num__esg_below_industry_min,0.0
num__market_flag_high_volume_shock,0.0
num__market_flag_high_market_cap_volatility,0.0
num__market_flag_negative_volume_trend,0.0
num__market_flag_negative_price_trend,0.0
num__market_flag_high_beta,0.0
num__fin_flag_very_low_solvency,0.0
num__market_flag_negative_eps,0.0
num__market_flag_stock_price_take_caution_or_worse,0.0
num__market_log_vol_shock_ratio,0.0
num__lpi_relative_risk,0.0
num__is_old_and_near_expiry,0.0
num__esg_row_missing_pct,0.0
num__terminated,0.0
num__lpi_below_supplier_median,0.0
num__financial_data_available,0.0
num__esg_data_available,0.0
num__fin_flag_negative_ebit_margin,0.0
num__fin_flag_low_solvency,0.0
num__Infrastructure,0.0
num__fin_flag_financial_risk_score_high,0.0
num__Tracking_Tracing,0.0
num__fin_implied_rating_missing_flag,0.0
num__fin_financial_level_missing_flag,0.0
num__fin_current_ratio_missing_flag,0.0
num__fin_interest_coverage_ratio_missing_flag,0.0
num__fin_ebit_margin_missing_flag,0.0
num__fin_implied_rating_ordinal,0.0
num__fin_flag_moderate_or_worse_rating,0.0
num__fin_flag_risk_take_caution_or_worse,0.0
num__fin_flag_risk_do_not_source,0.0
num__fin_flag_financial_risk_score_very_high,0.0
num__fin_flag_interest_coverage_weak,0.0
num__fin_flag_liquidity_stress,0.0
num__fin_flag_severe_liquidity_stress,0.0
num__fin_flag_strong_liquidity,0.0
num__fin_flag_gearing_high,0.0
num__fin_flag_long_term_gearing_high,0.0
num__fin_flag_short_term_gearing_high,0.0
num__fin_flag_debt_asset_high,0.0
num__fin_flag_long_term_liab_equity_high,0.0
num__fin_flag_short_term_liab_equity_high,0.0
num__fin_flag_interest_coverage_stress,0.0
cat__Code_DNK,0.0
