epoch,train_loss,val_loss,val_rmse,val_mae
1,0.5720919226333233,0.49262162762105055,0.09811684232107831,0.06902303546667099
2,0.4851861327388652,0.4591382228116602,0.05482682718935332,0.02972467429935932
3,0.47194422979414935,0.45271690341282544,0.05317035344928917,0.022700879722833633
4,0.47225278138428706,0.46499640204644066,0.06816304487545426,0.027165919542312622
5,0.4690690544721885,0.45351474212306997,0.047626621091873,0.02043098397552967
6,0.4674250172265945,0.45395226155914337,0.05398815961909215,0.014809763990342617
7,0.4662474698316427,0.4476707061696768,0.033093847637554796,0.012169808149337769
8,0.466000243576544,0.4432041242036021,0.03265514905798587,0.013483173213899136
9,0.46555265461833667,0.4486923947216273,0.03105281761975728,0.011004295200109482
10,0.4656384460438248,0.4509495889092195,0.04946991191862197,0.013312258757650852
11,0.4689670589909884,0.44868181230772036,0.05420349293257053,0.016518332064151764
12,0.466223746660604,0.445366279240217,0.03420127970009876,0.01073353923857212
13,0.4653790184355083,0.45563939604525694,0.03807268003657874,0.012266642414033413
