model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base,n_gold_samples,n_gold_classes,diagnostic_only
Mean Predictor_D_hybrid_unweighted,0.5,0.4375,0.7117594930247052,0.2592671446160636,0.11477540945718112,0.6086956521739131,0.4375,0.5522754094571811,0.4375,16,7,0.0,0.0,0.43749999999999994,0.2,0.2857142857142857,0.5464011565390907,0.4375,1.0,0.7342975882775339,D_hybrid_unweighted,Mean Predictor,16,2,False
Elastic Net_D_hybrid_unweighted,0.4444444444444445,0.48411172161172156,0.8722314707922556,0.3030155260109197,0.2969273339754559,0.0,0.5,0.31584545521623086,0.4375,16,7,0.4,0.2857142857142857,0.38356636737133554,0.4,0.5714285714285714,0.49549257728947255,0.4375,1.0,0.7036564454136639,D_hybrid_unweighted,Elastic Net,16,2,False
XGBoost_D_hybrid_unweighted,0.5238095238095238,0.6544348508634223,2.916137529158953,0.3169701676571901,0.291333136062904,0.0,0.5625,0.146166863937096,0.4375,16,7,0.6,0.42857142857142855,0.69921481985085,0.4,0.5714285714285714,0.6583122271626569,0.4375,1.0,0.8664760952868482,D_hybrid_unweighted,XGBoost,16,2,False
MLP_D_hybrid_unweighted,0.4444444444444444,0.5380799755799757,1.6180021638564088,0.38703607751953906,0.3699043554952368,0.0,0.5625,0.06759564450476319,0.4375,16,7,0.6,0.42857142857142855,0.6164336326286642,0.4,0.5714285714285714,0.5823418282052036,0.4375,1.0,0.7905056963293949,D_hybrid_unweighted,MLP,16,2,False
