method,inner_lr,AUROC_mean_avg,AUROC_best,NDCG10_mean,LogLoss_mean,ECE_mean,collapse_rate_mean,collapse_rate_max
fomaml,0.01,0.4901,0.5025,0.6945,0.8177,0.1523,1.0,1.0
maml,0.01,0.4741,0.5439,0.692,1.7283,0.3275,0.7,0.95
