feature,importance
num__Earnings_per_share_DKK,6.266614e-05
cat__contract_commodity_Road Transportation,6.049955e-05
num__fin_solvency_ratio_asset_based,6.0386425e-05
num__fin_interest_coverage_ratio,5.9498114e-05
cat__fin_closing_date_2025-03-31,5.9474907e-05
cat__Risk level_Take caution,5.9205904e-05
cat__incoterms_CIP Carriage and insurance paid,5.7207228e-05
cat__fin_closing_date_2025-12-31,5.6115627e-05
cat__fin_moodys_company_name_Smurfit Westrock Danmark A/S,5.5581917e-05
cat__nn_contract_type_Confidentiality Agreement,5.4559314e-05
num__fin_profit_margin,5.3668802e-05
cat__Code_DNK,5.3385982e-05
cat__expiry_pressure_bucket_5y_plus,5.338216e-05
num__market_flag_negative_price_trend,5.3290536e-05
cat__fin_closing_date_2024-12-31,5.3212705e-05
num__avg_closing_price,5.2782365e-05
num__fin_EBITDA_margin,5.1151288e-05
cat__fin_Implied_rating - original_A1,5.0647523e-05
cat__moodys_risk_rating_Take caution,4.8946415e-05
num__esg_below_industry_min,4.7471596e-05
cat__fin_output_text_Approved for sourcing. No further actions required.,4.7366048e-05
cat__fin_implied_rating_Aa,4.7070596e-05
cat__company_country_clean_Denmark,4.6175825e-05
num__contract_value,4.600315e-05
cat__fin_moodys_company_name_Enestia Belgium,4.567575e-05
cat__company_country_DENMARK,4.323e-05
cat__incoterms_CPT Carriage paid,4.246786e-05
cat__department_Drug Substance Outsourcing,4.0509127e-05
cat__contract_currency_code_USD,4.017003e-05
cat__incoterms_FCA Free carrier,3.9636856e-05
num__market_flag_negative_eps,3.9116978e-05
num__price_trend_slope,3.8725906e-05
cat__department_from_cost_center_Drug Substance Outsourcing,3.8241094e-05
cat__company_country_clean_Brazil,3.764974e-05
num__news_avg_relevance_score,3.366754e-05
cat__department_Packaging Material,3.316611e-05
cat__contract_commodity_Sterilization,3.3014287e-05
cat__Risk level_stock_closing_price_Take caution,3.247608e-05
cat__fin_moodys_company_name_F.I.S. Fabbrica Italiana Sintetici S.P.A.,3.200718e-05
num__market_flag_stock_price_take_caution_or_worse,3.0958046e-05
cat__fin_moodys_company_name_Agilent Technologies Denmark ApS,3.0552095e-05
cat__unit_GSOD,3.0507943e-05
cat__contract_type_Facility Management & Engineering,3.0188485e-05
"cat__team_Quality, Production Services & Supplies",2.9869769e-05
cat__expiry_pressure_bucket_3_to_5y,2.9456509e-05
cat__company_country_SWEDEN,2.8328572e-05
cat__fin_moodys_company_name_Zirq Cables AS,2.8005226e-05
num__price_volatility_score,2.7669324e-05
cat__company_country_clean_Sweden,2.7328562e-05
"cat__fin_moodys_company_name_Cytiva, Filial af Cytiva Europe GmbH, Tyskland",2.6552507e-05
cat__payment_terms_L060 Current Month + 60 days,2.5844143e-05
num__missingindicator_fin_roa_net_income,2.5577505e-05
cat__incoterms_EXW Ex works,2.5043533e-05
num__esg_industry_max,2.4979403e-05
cat__incoterms_DDP Delivered duty paid,2.4749817e-05
cat__fin_moodys_company_name_Catalent Germany Schorndorf GmbH,2.4581306e-05
cat__contract_currency_code_CHF,2.3823186e-05
cat__fin_Implied_rating - original_Aa3,2.2919558e-05
cat__department_Devices & Needles,2.2526865e-05
num__missingindicator_fin_gearing,2.249045e-05
num__fin_roa_net_income,2.2431994e-05
cat__fin_moodys_company_name_Linde Gas A/S,2.2009925e-05
cat__contract_commodity_Industrial Commodities,2.1889866e-05
cat__payment_terms_F060 Invoice Date + 60 days,2.1643496e-05
cat__fin_moodys_company_name_Almac Group Limited,2.1379812e-05
cat__contract_commodity_Waste Management,2.1346354e-05
cat__payment_terms_F015 Invoice Date + 15 days,2.1182279e-05
cat__term_type_auto_renew,2.100828e-05
cat__payment_terms_L030 Current Month + 30 days,2.0627942e-05
num__fin_ebit_margin,2.0536401e-05
cat__contract_commodity_Cleaning Services (GxP)',2.0208905e-05
cat__nn_contract_type_Master Service Agreement,2.007729e-05
num__contract_value_dkk,1.9530176e-05
num__missingindicator_fin_current_ratio,1.9447834e-05
cat__Country_Denmark,1.914305e-05
"cat__department_Quality, Production Services & Supplies",1.9131985e-05
cat__contract_type_Distribution,1.8928591e-05
cat__company_country_FRANCE,1.8822942e-05
num__esg_industry_min,1.851817e-05
cat__fin_moodys_company_name_ICM A/S,1.7891427e-05
cat__fin_Status_Dissolved,1.7780998e-05
"cat__supplier_sector_Industrial, Electric & Electronic Machinery",1.7154982e-05
cat__fin_moodys_company_name_Deloitte Statsautoriseret Revisionspartnerselskab,1.6408601e-05
cat__expiry_pressure_bucket_1_to_3y,1.6157795e-05
cat__company_country_BRAZIL,1.5966507e-05
cat__fin_moodys_company_name_Becton Dickinson Denmark A/S,1.563282e-05
cat__contract_currency_code_DKK,1.5378413e-05
cat__fin_Implied_rating - original_A2,1.491499e-05
"cat__supplier_sector_Chemicals, Petroleum, Rubber & Plastic",1.4647692e-05
cat__department_from_cost_center_Bioprocessing & Raw Materials,1.4475607e-05
cat__supplier_sector_Business Services,1.4246797e-05
cat__fin_implied_rating_Caa,1.4191847e-05
cat__fin_moodys_company_name_Synoptik A/S,1.3292134e-05
cat__incoterms_DDU Delivered duty unpaid,1.3145602e-05
cat__fin_moodys_company_name_Sonderborg Vaerktojsfabrik A/S,1.31245e-05
cat__nn_contract_type_Basic Terms Agreement,1.2922534e-05
num__missingindicator_fin_interest_coverage_ratio,1.2709614e-05
num__Infrastructure,1.2418719e-05
cat__fin_moodys_company_name_SPS Medical,1.24081525e-05
cat__contract_commodity_Other Energy & Utilities,1.1936365e-05
cat__nn_contract_type_Outsourcing Agreement,1.1907994e-05
cat__contract_commodity_Clothing and Personal Safety Unclassified,1.1224383e-05
cat__supplier_sector_Waste Management & Treatment,1.1220004e-05
num__news_max_relevance_score,1.1151817e-05
cat__fin_Implied_rating - original_Aa2,1.1057729e-05
cat__fin_moodys_company_name_Gerresheimer Horsovsky Tyn spol. s r.o.,1.09594785e-05
"cat__incoterms_CIF Costs, insurance & freight",1.0674694e-05
cat__fin_moodys_company_name_Novo Nordisk Production Belgium SA,1.0600141e-05
num__vol_shock_ratio,1.0495004e-05
num__missingindicator_fin_roe_net_income,1.0381455e-05
cat__team_Raw Materials & Energy,1.0131887e-05
cat__contract_commodity_Other Critical Production Material,1.0109434e-05
cat__supplier_sector_Utilities,9.945324e-06
cat__contract_commodity_Distributor Delivery,9.711519e-06
cat__fin_moodys_company_name_Elis Danmark A/S,9.659384e-06
"cat__supplier_sector_Leather, Stone, Clay & Glass products",9.469584e-06
cat__company_country_clean_United States,9.386595e-06
cat__nn_contract_type_Freight Forwarder Agreement,9.089009e-06
cat__contract_commodity_Ocean Transportation,8.978968e-06
cat__contract_commodity_Cleaning Equipment (GxP),8.950078e-06
num__fin_current_ratio_missing_flag,8.804832e-06
num__missingindicator_fin_Number_of_employees,8.789363e-06
num__missingindicator_contract_value,8.684729e-06
cat__fin_moodys_company_name_Ypsomed AG,8.566002e-06
cat__fin_closing_date_2022-06-30,8.5294205e-06
cat__contract_commodity_Support Proteins and BIO APIs Unclassified,8.497243e-06
cat__incoterms_DAT Del.at Terminal-incl.unloading,8.472087e-06
cat__nn_contract_type_Service Agreement,8.316697e-06
num__fin_flag_short_term_liab_equity_high,8.161213e-06
"cat__contract_commodity_Glass (Syringes, Vials, Cartridges)",7.932279e-06
cat__contract_commodity_Excipients,7.753901e-06
cat__supplier_sector_Food & Tobacco Manufacturing,7.556649e-06
cat__fin_moodys_company_name_Merck Life Science A/S,7.0880374e-06
cat__payment_terms_F045 Invoice Date + 45 days,6.8194718e-06
cat__moodys_risk_rating_Do not source,6.6357775e-06
cat__fin_moodys_company_name_Millmount Healthcare Limited,6.582853e-06
cat__team_Raw Materials,6.521182e-06
cat__fin_closing_date_2023-06-30,6.4421756e-06
cat__contract_commodity_Personal Safety (PPE),6.262617e-06
cat__contract_currency_code_CNY,6.164359e-06
"cat__fin_moodys_company_name_Kovac MED Co.,Ltd",6.1336455e-06
cat__fin_moodys_company_name_Kalundborg Forsyning A/S,5.818688e-06
