iteration,meta_loss,n_skipped,n_valid_tasks
1,2.0384223461151123,0,4
2,4.703159332275391,0,4
3,10.011076927185059,0,4
4,1.4963128566741943,0,4
5,1.4125192165374756,0,4
6,1.3311264514923096,0,4
7,1.2841519117355347,0,4
8,1.544910192489624,0,4
9,3.395084857940674,0,4
10,1.6465733051300049,0,4
11,1.6617761850357056,0,4
12,1.1794325113296509,0,4
13,1.4182969331741333,0,4
14,2.6736979484558105,0,4
15,1.7734445333480835,0,4
16,0.7501372694969177,0,4
17,2.2145819664001465,0,4
18,0.9204180240631104,0,4
19,2.0538506507873535,0,4
20,0.8172742128372192,0,4
21,0.8660112619400024,0,4
22,1.7716968059539795,0,4
23,1.7059731483459473,0,4
24,0.8880903124809265,0,4
25,0.8980033993721008,0,4
26,1.481284499168396,0,4
27,2.223010540008545,0,4
28,1.2075828313827515,0,4
29,4.650385856628418,0,4
30,1.1749217510223389,0,4
31,1.496264934539795,0,4
32,0.8624142408370972,0,4
33,2.3492512702941895,0,4
34,2.7886962890625,0,4
35,1.9133840799331665,0,4
36,1.4808930158615112,0,4
37,1.8010382652282715,0,4
38,3.3643746376037598,0,4
39,2.6277081966400146,0,4
40,0.9014277458190918,0,4
41,2.9747304916381836,0,4
42,0.9456798434257507,0,4
43,0.9183433651924133,0,4
44,1.3376483917236328,0,4
45,1.3671250343322754,0,4
46,1.531822681427002,0,4
47,1.2568165063858032,0,4
48,0.8916382789611816,0,4
49,0.9470964670181274,0,4
50,0.9313359260559082,0,4
51,1.8709056377410889,0,4
52,0.7176440358161926,0,4
53,1.441511869430542,0,4
54,0.9050300121307373,0,4
55,2.153096914291382,0,4
56,1.0825202465057373,0,4
57,0.7391843795776367,0,4
58,1.2513229846954346,0,4
59,0.7636934518814087,0,4
60,1.0227141380310059,0,4
61,1.5111384391784668,0,4
62,1.0301563739776611,0,4
63,1.7676825523376465,0,4
64,1.0692130327224731,0,4
65,0.757952094078064,0,4
66,0.6664374470710754,0,4
67,0.9321805238723755,0,4
68,0.46746116876602173,0,4
69,1.44893479347229,0,4
70,1.1184524297714233,0,4
71,2.9707534313201904,0,4
72,2.369861602783203,0,4
73,0.8455350399017334,0,4
74,0.5636196136474609,0,4
75,3.1285741329193115,0,4
76,2.406917095184326,0,4
77,0.8839755058288574,0,4
78,1.9593548774719238,0,4
79,1.3368631601333618,0,4
80,0.6774012446403503,0,4
81,0.5880694389343262,0,4
82,1.3039588928222656,0,4
83,2.154397964477539,0,4
84,1.6410534381866455,0,4
85,1.2035136222839355,0,4
86,0.821097195148468,0,4
87,1.1143994331359863,0,4
88,1.014538049697876,0,4
89,0.828159749507904,0,4
90,0.538658857345581,0,4
91,0.7473844289779663,0,4
92,0.9374204874038696,0,4
93,0.6745696067810059,0,4
94,0.6589840054512024,0,4
95,0.9780631065368652,0,4
96,0.6228163242340088,0,4
97,0.7839236855506897,0,4
98,0.8504821062088013,0,4
99,0.7767375707626343,0,4
100,0.8649182319641113,0,4
101,0.8470981121063232,0,4
102,0.7495036125183105,0,4
103,0.5846601128578186,0,4
104,0.9866837859153748,0,4
105,0.5634433031082153,0,4
106,0.7928301095962524,0,4
107,0.7625007629394531,0,4
108,0.9917479157447815,0,4
109,0.5776857137680054,0,4
110,0.5851779580116272,0,4
111,0.9096533060073853,0,4
112,0.9800178408622742,0,4
113,0.7155928611755371,0,4
114,0.8866415619850159,0,4
115,0.8275920748710632,0,4
116,0.9703452587127686,0,4
117,0.9122462272644043,0,4
118,0.6473314762115479,0,4
119,0.7531672716140747,0,4
120,0.7364760637283325,0,4
121,0.8000146150588989,0,4
122,0.7098108530044556,0,4
123,0.636152446269989,0,4
124,0.7660281658172607,0,4
125,0.5535204410552979,0,4
126,0.7143365740776062,0,4
127,0.5928455591201782,0,4
128,0.6173796057701111,0,4
129,0.6729312539100647,0,4
130,0.8281711935997009,0,4
131,0.6852966547012329,0,4
132,0.6748711466789246,0,4
133,0.6569088697433472,0,4
134,0.8818414211273193,0,4
135,0.6049706935882568,0,4
136,0.810777485370636,0,4
137,0.6711296439170837,0,4
138,0.5827375650405884,0,4
139,0.5320141315460205,0,4
140,0.6341285705566406,0,4
141,0.5586743950843811,0,4
142,0.6401098966598511,0,4
143,0.6460940837860107,0,4
144,0.5919385552406311,0,4
145,0.7924340963363647,0,4
146,0.623478889465332,0,4
147,0.7575086951255798,0,4
148,0.6461492776870728,0,4
149,0.6588728427886963,0,4
150,0.7171118259429932,0,4
151,0.6471535563468933,0,4
152,0.6677467823028564,0,4
153,0.5076104402542114,0,4
154,0.6900843381881714,0,4
155,0.6833668351173401,0,4
156,0.6264773011207581,0,4
157,0.6418944597244263,0,4
158,0.6098678708076477,0,4
159,0.5796886086463928,0,4
160,0.477510929107666,0,4
161,0.996191143989563,0,4
162,0.8333421349525452,0,4
163,0.8105727434158325,0,4
164,0.6092024445533752,0,4
165,0.6616277098655701,0,4
166,0.6652815341949463,0,4
167,0.6277799606323242,0,4
168,0.6375446915626526,0,4
169,0.6040212512016296,0,4
170,0.6352022886276245,0,4
171,0.8512230515480042,0,4
172,0.6704519987106323,0,4
173,0.8274586796760559,0,4
174,0.7643377184867859,0,4
175,0.5668878555297852,0,4
176,0.6953223943710327,0,4
177,0.7524666786193848,0,4
178,0.6388744711875916,0,4
179,0.6759136319160461,0,4
180,0.6379016041755676,0,4
181,0.668502926826477,0,4
182,0.5592226982116699,0,4
183,0.6502885818481445,0,4
184,0.7030976414680481,0,4
185,0.6637755036354065,0,4
186,0.6391821503639221,0,4
187,0.7441476583480835,0,4
188,0.6555283069610596,0,4
189,0.6654662489891052,0,4
190,0.703393280506134,0,4
191,0.6883350014686584,0,4
192,0.675994873046875,0,4
193,0.7125071287155151,0,4
194,0.8287615776062012,0,4
195,0.648242175579071,0,4
196,0.6660584211349487,0,4
197,0.5995549559593201,0,4
198,0.5753387212753296,0,4
199,0.5923081636428833,0,4
200,0.6765739321708679,0,4
