epoch,train_loss,val_loss,val_rmse,val_mae
1,0.6003510532265525,0.549378089681307,0.1542656963571936,0.11540389060974121
2,0.5229463362385234,0.5382717883605715,0.12236418636197337,0.07200267165899277
3,0.5033806174201725,0.49644735507302185,0.09393853859063962,0.05125429481267929
4,0.4898241843484389,0.47705366088566875,0.09106029061220695,0.04018235206604004
5,0.48663300280700283,0.4658657392744895,0.0786682167973674,0.03387179598212242
6,0.4824212623912646,0.4592279417066589,0.07641138117572702,0.03145980089902878
7,0.4782341766589245,0.47120490982508645,0.08786444539010496,0.034244224429130554
8,0.4768713477073516,0.456434562841549,0.06572887000174661,0.025207053869962692
9,0.47429518084498634,0.46157981239537804,0.06195617425950122,0.02217470295727253
10,0.4737975694518715,0.472557401519,0.06154400617910904,0.022958403453230858
11,0.47226189179343414,0.5040190204813205,0.06575341702215053,0.021281100809574127
12,0.4707010991114259,0.4556641954695193,0.054706427585467635,0.01976763643324375
13,0.4703721061075462,0.46190220858311265,0.06663774013983177,0.02227226085960865
14,0.47092246766026397,0.4704499635462889,0.05994106827109554,0.02113320305943489
15,0.4741057177433671,0.483474750466068,0.07583624611435419,0.02443726547062397
16,0.4716658319750409,0.5180458532251013,0.0674532922544299,0.021371187642216682
17,0.4715718845656982,0.4639532434557412,0.06755950125365703,0.02558799646794796
