model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.30713382012052465,0.24927362405379297,-1.478435673885059e-06,0.549429234095864,0.5498026807193741,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.15028898564813625,0.1125979672078496,0.7605583671131816,0.5453842385507182,0.5498026807193741,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.004013809989076685,0.0020638448146714367,0.9998292113609121,0.5496134270786954,0.5498026807193741,A_weak_only,XGBoost
MLP_A_weak_only,0.1820764023976978,0.13301153433837723,0.6485587892965224,0.5708420632198828,0.5498026807193741,A_weak_only,MLP
Mean Predictor_B_gold_only,0.3211729626998671,0.25296062436138145,-0.09351139981039402,0.45588235294117657,0.5498026807193741,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.5517042399235895,0.45949841580353096,-2.22669563957601,0.3239983372233611,0.5498026807193741,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.5481459666487473,0.48182371823635817,-2.1852080504383435,0.6444920125014315,0.5498026807193741,B_gold_only,XGBoost
MLP_B_gold_only,0.38130782061729696,0.32019327166588996,-0.5413340921443246,0.7341147052900733,0.5498026807193741,B_gold_only,MLP
Mean Predictor_C_hybrid,0.30713542542329914,0.2492560655100111,-1.1931920363084103e-05,0.5487417610688977,0.5498026807193741,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.1566543261534916,0.1156584685054618,0.7398462175108695,0.5381540224400712,0.5498026807193741,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.049191488440609075,0.00934994344989078,0.9743477604783344,0.5477844727458825,0.5498026807193741,C_hybrid,XGBoost
MLP_C_hybrid,0.20798213827545697,0.17351904294179735,0.541438661042644,0.6558906307900212,0.5498026807193741,C_hybrid,MLP
