model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.3071599249141137,0.24918044064648473,-0.00017147561515273857,0.5457808063058948,0.5498026807193741,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.15013243269901877,0.1123246787707273,0.7610569501567508,0.5450425181204547,0.5498026807193741,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.0073962635519338365,0.0025137642181092767,0.9994200772915225,0.5494346945966322,0.5498026807193741,A_weak_only,XGBoost
MLP_A_weak_only,0.26233295306216076,0.21354676924632665,0.27045673041933194,0.5653087290158332,0.5498026807193741,A_weak_only,MLP
Mean Predictor_B_gold_only,0.3138365205125929,0.26157836157027264,-0.044124579051933566,0.6143187066974596,0.5498026807193741,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.4381516709957496,0.35219773432067997,-1.035140062665846,0.8007188059658483,0.5498026807193741,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.4080774788278522,0.32361789432203825,-0.765349154065059,0.7782882494469272,0.5498026807193741,B_gold_only,XGBoost
MLP_B_gold_only,0.38477767757734616,0.30964556675214977,-0.569513649850895,0.30221906383956515,0.5498026807193741,B_gold_only,MLP
Mean Predictor_C_hybrid,0.30713481141629806,0.2492610670840655,-7.933594785791698e-06,0.5489375886555966,0.5498026807193741,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.16702142386355842,0.12692436034418814,0.7042738546435019,0.5478571098089084,0.5498026807193741,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.11791735246443004,0.04032460350972108,0.8525988749546516,0.5463172952652523,0.5498026807193741,C_hybrid,XGBoost
MLP_C_hybrid,0.3100252516595278,0.2329496210706008,-0.01891861460918265,0.5035596170375732,0.5498026807193741,C_hybrid,MLP
Mean Predictor_D_hybrid_unweighted,0.30713481141629806,0.2492610670840655,-7.933594785791698e-06,0.5489375886555966,0.5498026807193741,D_hybrid_unweighted,Mean Predictor
Elastic Net_D_hybrid_unweighted,0.1520524267745766,0.11487638146554957,0.7549063435768429,0.5447039944451673,0.5498026807193741,D_hybrid_unweighted,Elastic Net
XGBoost_D_hybrid_unweighted,0.07181809011248552,0.0244494125143499,0.9453219444127495,0.5464351428293129,0.5498026807193741,D_hybrid_unweighted,XGBoost
MLP_D_hybrid_unweighted,0.4773739682419955,0.38952686573139755,-1.4158102772237702,0.16240338996266215,0.5498026807193741,D_hybrid_unweighted,MLP
