model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base
Mean Predictor_A_weak_only,0.5,0.75,0.6561419462131263,0.23153548927167328,0.20984634681517156,0.8571428571428571,0.75,0.5401536531848284,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.9375,0.9833333333333334,0.2965144003685368,0.09035247611527589,0.1905058301330903,0.9565217391304348,0.9375,0.6999405044200404,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.9375,0.9833333333333334,0.271332653467389,0.08925307031495897,0.13940936300347742,0.9565217391304348,0.9375,0.7742669287007006,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,A_weak_only,XGBoost
MLP_A_weak_only,0.9270833333333333,0.9791666666666669,0.5173552304645828,0.1650084554084329,0.3368211165070534,0.8461538461538461,0.75,0.6127412021160126,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.995500873518609,A_weak_only,MLP
Mean Predictor_B_gold_only,0.5,0.75,0.7412878236511908,0.27400519031141873,0.29411764705882354,0.0,0.25,0.45588235294117646,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,1.0,1.0,0.44270036376480615,0.11731593554910826,0.11298307306739966,0.9230769230769231,0.875,0.8629830730673996,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,1.0,B_gold_only,Elastic Net
XGBoost_B_gold_only,1.0,1.0,0.5574605470090996,0.18814942069501228,0.1988314762711525,0.8571428571428571,0.75,0.9488314762711525,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,1.0,B_gold_only,XGBoost
MLP_B_gold_only,0.8541666666666666,0.9563131313131313,0.8182148856873013,0.2100951527313084,0.1333511907723732,0.8461538461538461,0.75,0.7587636105599813,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,0.9,0.75,0.933745776545611,0.75,1.0,0.9889294468802635,B_gold_only,MLP
Mean Predictor_C_hybrid,0.5,0.75,0.65666587771047,0.23179579146976453,0.21046565389574734,0.8571428571428571,0.75,0.5395343461042527,0.75,16,12,0.6,0.25,0.7499999999999999,0.8,0.6666666666666666,0.75,0.75,1.0,0.8992209520003496,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.9375,0.9833333333333334,0.30854482967488706,0.09336921696451936,0.19711820251524392,0.9565217391304348,0.9375,0.6958511595894901,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.9375,0.9833333333333334,0.26161583771990676,0.08769862546989396,0.13802437570989992,0.9565217391304348,0.9375,0.7748438483744775,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,XGBoost
MLP_C_hybrid,0.9375,0.9833333333333333,0.6511331420169583,0.22904968457923447,0.2045467421412468,0.8571428571428571,0.75,0.5454532578587532,0.75,16,12,1.0,0.4166666666666667,0.9999999999999999,1.0,0.8333333333333334,1.0,0.75,1.0,0.9960260777722643,C_hybrid,MLP
