model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base
Mean Predictor_A_weak_only,,,0.6161629492945143,0.21158847916699727,0.45998747718497424,1.0,1.0,0.5400125228150258,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,,,0.0479859560144618,0.006986208383578871,0.04401497406081053,1.0,1.0,0.9559850259391893,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,A_weak_only,Elastic Net
XGBoost_A_weak_only,,,0.0003494411887666837,4.815053729835451e-07,0.0003492001570822856,1.0,1.0,0.9996507998429177,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,A_weak_only,XGBoost
MLP_A_weak_only,,,0.6153550707050364,0.2111871550176012,0.45955103635787964,1.0,1.0,0.5404489636421204,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,A_weak_only,MLP
Mean Predictor_B_gold_only,,,1.0000000100247592e-08,1.0000000100495186e-16,1.0000000161269895e-08,1.0,1.0,0.9999999899999998,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,,,1.0000000100247592e-08,1.0000000100495186e-16,1.0000000161269895e-08,1.0,1.0,0.9999999899999998,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,B_gold_only,Elastic Net
XGBoost_B_gold_only,,,1.0000000100247592e-08,1.0000000100495186e-16,1.0000000161269895e-08,1.0,1.0,0.9999999899999998,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,B_gold_only,XGBoost
MLP_B_gold_only,,,1.0000000100247592e-08,1.0000000100495186e-16,1.0000000161269895e-08,1.0,1.0,0.9999999899999998,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,B_gold_only,MLP
Mean Predictor_C_hybrid,,,0.6151451109864283,0.2110828641256269,0.4594375519323892,1.0,1.0,0.5405624480676108,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,,,0.045037619557641274,0.006293563249389844,0.04148111110069421,1.0,1.0,0.9585188888993056,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,C_hybrid,Elastic Net
XGBoost_C_hybrid,,,0.00025320140522152413,3.2285919141410795e-07,0.0002530398270070844,1.0,1.0,0.9997469601729929,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,C_hybrid,XGBoost
MLP_C_hybrid,,,0.3900804033175947,0.10436453438883478,0.32294504750858655,1.0,1.0,0.6770549524914135,1.0,11,11,1.0,0.45454545454545453,0.9999999999999999,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,C_hybrid,MLP
