epoch,train_loss,val_loss,val_rmse,val_mae
1,0.563938664807689,17.03539276123047,0.8660254037844386,0.75
2,0.5084335640850652,1.2007256746292114,0.4432730569710943,0.2190559208393097
3,0.4885831020927862,2.0154755115509033,0.7613526858521834,0.6584970951080322
4,0.4807316544351482,0.2865714430809021,0.31424065039829485,0.17870114743709564
5,0.47438978131083065,0.8342335820198059,0.4321268027733939,0.2074871063232422
6,0.4751530895552145,0.4496798813343048,0.30617478089195865,0.2025974839925766
7,0.4636757853777618,0.41841477155685425,0.3965168455761793,0.2076738029718399
8,0.4657025630379012,0.6499997973442078,0.41855329120810725,0.1932799518108368
9,0.4653892190884374,0.4493400454521179,0.41430574146143956,0.20740461349487305
10,0.4619256296145469,1.1780567169189453,0.47099605325393773,0.23463845252990723
11,0.46230166762065567,8.933767318725586,0.8660177641185312,0.7499942183494568
12,0.4664262146269787,0.3696408271789551,0.3105786385276461,0.144388809800148
13,0.4649705383811888,0.3496992290019989,0.3421338736087549,0.16651375591754913
14,0.4668947241763147,0.4079211354255676,0.2873446480185751,0.12174282968044281
