epoch,train_loss,val_loss,val_rmse,val_mae
1,0.6758736371994019,1.82131028175354,0.4996500429687283,0.2503109574317932
2,0.5584086179733276,2.657327175140381,0.49998773619393655,0.250011146068573
3,0.46514829993247986,3.171391010284424,0.4999984502768342,0.2500015199184418
4,0.421919584274292,3.4851505756378174,0.49999956786613864,0.2500004768371582
5,0.370006799697876,3.671287775039673,0.49999980628486695,0.2500002384185791
6,0.33458393812179565,3.6506528854370117,0.49999976158136406,0.2500002384185791
7,0.30724310874938965,3.614406108856201,0.49999974668019553,0.2500002980232239
8,0.2638435661792755,3.472989082336426,0.4999995231626144,0.2500004470348358
9,0.22931180894374847,3.2541098594665527,0.49999888241166146,0.25000113248825073
10,0.21021516621112823,2.9520819187164307,0.4999962448932783,0.2500039339065552
11,0.18994677066802979,2.645965814590454,0.4999870656247857,0.25001394748687744
