model,rmse,mae,r2,pred_mean,true_mean,condition
Mean Predictor_D_hybrid_unweighted,0.5119451532399123,0.509692952342413,-0.09115836115256526,0.5489375886555967,0.40096618357487923,D_hybrid_unweighted
Elastic Net_D_hybrid_unweighted,0.6553189692096482,0.5929866832074894,-0.7879130416629923,0.6785410678935746,0.40096618357487923,D_hybrid_unweighted
XGBoost_D_hybrid_unweighted,0.4739502079897294,0.39808231095472973,0.06479601279118175,0.600516897180806,0.40096618357487923,D_hybrid_unweighted
