iteration,meta_loss,n_skipped,n_valid_tasks
1,94.50315856933594,0,4
2,3.162508964538574,0,4
3,3.778510093688965,0,4
4,5.075285911560059,0,4
5,1.0285199880599976,0,4
6,1.488398551940918,0,4
7,0.8086230754852295,0,4
8,2.154911994934082,0,4
9,1.9089876413345337,0,4
10,0.7594283223152161,0,4
11,1.3283438682556152,0,4
12,1.4869709014892578,0,4
13,1.2823481559753418,0,4
14,0.8555620312690735,0,4
15,1.1837084293365479,0,4
16,1.501970648765564,0,4
17,1.5516122579574585,0,4
18,1.1864439249038696,0,4
19,0.9919005036354065,0,4
20,0.7098843455314636,0,4
21,0.7200566530227661,0,4
22,0.6976169943809509,0,4
23,1.6414976119995117,0,4
24,1.5275746583938599,0,4
25,1.50528883934021,0,4
26,1.121644139289856,0,4
27,0.7569249272346497,0,4
28,0.6929173469543457,0,4
29,0.8117986917495728,0,4
30,0.8189883232116699,0,4
31,0.7096588015556335,0,4
32,0.9444166421890259,0,4
33,0.6474326252937317,0,4
34,0.8544646501541138,0,4
35,0.7884269952774048,0,4
36,0.6475173234939575,0,4
37,0.6979156732559204,0,4
38,0.6726131439208984,0,4
39,0.7199596166610718,0,4
40,0.6439031362533569,0,4
41,0.7215526103973389,0,4
42,0.632344663143158,0,4
43,0.6876198649406433,0,4
44,0.7773420214653015,0,4
45,1.0642526149749756,0,4
46,1.1385875940322876,0,4
47,1.1682199239730835,0,4
48,0.9103246331214905,0,4
49,0.5939040780067444,0,4
50,0.9440178871154785,0,4
51,0.7112072110176086,0,4
52,1.7340519428253174,0,4
53,1.2968740463256836,0,4
54,0.6962566375732422,0,4
55,0.7937630414962769,0,4
56,0.8550590872764587,0,4
57,0.6647121906280518,0,4
58,0.6898653507232666,0,4
59,0.6968860626220703,0,4
60,0.61080002784729,0,4
61,0.8571569919586182,0,4
62,0.8971076607704163,0,4
63,0.8816056847572327,0,4
64,0.8556916117668152,0,4
65,0.7021827101707458,0,4
66,0.9232660531997681,0,4
67,0.9240850806236267,0,4
68,0.7549464702606201,0,4
69,0.6114726662635803,0,4
70,0.7288821935653687,0,4
71,1.0274373292922974,0,4
72,1.3430019617080688,0,4
73,0.9833502769470215,0,4
74,0.6259738206863403,0,4
75,0.7390409708023071,0,4
76,0.6814788579940796,0,4
77,0.6802332401275635,0,4
78,0.7110634446144104,0,4
79,0.7345020771026611,0,4
80,0.7278510928153992,0,4
81,0.7127971649169922,0,4
