iteration,meta_loss,n_skipped
1,0.8322802782058716,0
2,8.36004638671875,0
3,2.118433713912964,0
4,0.0995265394449234,0
5,0.035490576177835464,0
6,5.07703161239624,0
7,2.4253273010253906,0
8,0.6985673308372498,0
9,0.15696555376052856,0
10,5.2051191329956055,0
11,8.135857582092285,0
12,5.9730658531188965,0
13,2.7212729454040527,0
14,0.4533175528049469,0
15,0.5336395502090454,0
16,0.638065755367279,0
17,0.26204732060432434,0
18,1.603639841079712,0
19,2.3211441040039062,0
20,1.0909227132797241,0
21,0.4756556749343872,0
22,0.4688582122325897,0
23,0.8631108999252319,0
24,0.33771878480911255,0
25,0.3306654691696167,0
26,0.8774088621139526,0
27,0.5528649091720581,0
28,0.5838119983673096,0
29,0.4290735721588135,0
30,0.5766863226890564,0
31,0.36454153060913086,0
32,0.3692755699157715,0
33,0.6859551072120667,0
34,0.5913259983062744,0
35,1.0035626888275146,0
36,1.414658546447754,0
37,0.3941405415534973,0
38,0.6186729669570923,0
39,0.38614562153816223,0
40,1.1906839609146118,0
41,0.12253566086292267,0
42,0.8924896717071533,0
43,0.1367843896150589,0
44,0.26186200976371765,0
45,1.001874566078186,0
46,0.10748250037431717,0
47,0.21826814115047455,0
48,0.2546679675579071,0
49,3.9637691974639893,0
50,0.37099719047546387,0
51,0.19449980556964874,0
52,0.19891543686389923,0
53,0.21512675285339355,0
54,1.1408424377441406,0
55,4.395683765411377,0
56,3.189934015274048,0
57,0.30097314715385437,0
58,0.02451426349580288,0
59,0.2806006073951721,0
60,0.2288326919078827,0
61,2.387864112854004,0
62,3.1243884563446045,0
63,0.5707707405090332,0
64,1.1911096572875977,0
65,0.27138304710388184,0
66,0.7210085391998291,0
67,0.16859585046768188,0
68,1.0240572690963745,0
69,3.6003401279449463,0
70,0.17996448278427124,0
71,0.1894156038761139,0
72,1.603034496307373,0
73,0.3611377775669098,0
74,1.2790114879608154,0
75,0.9372488260269165,0
76,2.2936244010925293,0
77,1.2991621494293213,0
78,0.1277768462896347,0
79,0.1257544606924057,0
80,0.16803351044654846,0
81,3.1585748195648193,0
82,0.20414453744888306,0
83,2.631077527999878,0
84,0.22492241859436035,0
85,0.8254874348640442,0
86,0.1713229864835739,0
87,0.02240772359073162,0
88,0.5282071828842163,0
89,1.121695637702942,0
90,1.5291861295700073,0
91,0.2794444262981415,0
92,0.8906093835830688,0
93,0.28199437260627747,0
94,4.73166036605835,0
95,1.1972240209579468,0
96,0.49544668197631836,0
97,0.017214536666870117,0
98,1.6711963415145874,0
99,0.0049434383399784565,0
100,0.2129775732755661,0
