epoch,train_loss,val_loss,val_rmse,val_mae
1,0.6586248278617859,14.368765830993652,0.7071067811865476,0.5
2,0.6237700581550598,16.63805389404297,0.7071067811865476,0.5
3,0.5814371109008789,18.584171295166016,0.7071067811865476,0.5
4,0.5545195937156677,20.107328414916992,0.7071067811865476,0.5
5,0.5310531258583069,21.294469833374023,0.7071067811865476,0.5
6,0.5148454308509827,22.303552627563477,0.7071067811865476,0.5
7,0.4871654510498047,23.07094955444336,0.7071067811865476,0.5
8,0.4732477366924286,23.60511589050293,0.7071067811865476,0.5
9,0.4561026692390442,23.809236526489258,0.7071067811865476,0.5
10,0.4396800994873047,23.99407196044922,0.7071067811865476,0.5
11,0.4163654148578644,24.026905059814453,0.7071067811865476,0.5
12,0.3961128890514374,23.884967803955078,0.7071067811865476,0.5
13,0.38028180599212646,23.71601676940918,0.7071067811865476,0.5
14,0.3692353069782257,23.537309646606445,0.7071067811865476,0.5
15,0.3486061990261078,23.334495544433594,0.7071067811865476,0.5
16,0.33255743980407715,23.081743240356445,0.7071067811865476,0.5
17,0.3182624578475952,22.802873611450195,0.7071067811865476,0.5
18,0.30839279294013977,22.45758056640625,0.7071067811865476,0.5
19,0.30452239513397217,22.15215492248535,0.7071067811865476,0.5
20,0.2815591096878052,21.9521484375,0.7071067811865476,0.5
21,0.2665402889251709,21.967195510864258,0.7071067811865476,0.5
