model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.3071599249141137,0.24918044064648473,-0.00017147561515273857,0.5457808063058948,0.5498026807193741,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.15013243269901877,0.1123246787707273,0.7610569501567508,0.5450425181204547,0.5498026807193741,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.0073962635519338365,0.0025137642181092767,0.9994200772915225,0.5494346945966322,0.5498026807193741,A_weak_only,XGBoost
MLP_A_weak_only,0.47350573814103214,0.4116295320646286,-1.3768175835496956,0.13847145317550816,0.5498026807193741,A_weak_only,MLP
Mean Predictor_B_gold_only,0.3138365205125929,0.26157836157027264,-0.044124579051933566,0.6143187066974596,0.5498026807193741,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.4381516709957496,0.35219773432067997,-1.035140062665846,0.8007188059658483,0.5498026807193741,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.4080774788278522,0.32361789432203825,-0.765349154065059,0.7782882494469272,0.5498026807193741,B_gold_only,XGBoost
MLP_B_gold_only,0.6294923236718722,0.5494962248525272,-3.2007441957722804,0.0003093577588708225,0.5498026807193741,B_gold_only,MLP
Mean Predictor_C_hybrid,0.30713481141629806,0.2492610670840655,-7.933594785791698e-06,0.5489375886555966,0.5498026807193741,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.16702142386355842,0.12692436034418814,0.7042738546435019,0.5478571098089084,0.5498026807193741,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.11791735246443004,0.04032460350972108,0.8525988749546516,0.5463172952652523,0.5498026807193741,C_hybrid,XGBoost
MLP_C_hybrid,0.19968832750771662,0.1317140036623086,0.5772820224160436,0.47699583217310537,0.5498026807193741,C_hybrid,MLP
