model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,condition,model_base
Mean Predictor_A_weak_only,,,0.5967017034790866,0.2019380990597922,0.4493752319162597,1.0,1.0,0.5506247680837403,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,,,2.904336021001946,0.8934311037380952,0.945214845280212,0.0,0.0,0.054785154719787954,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,A_weak_only,Elastic Net
XGBoost_A_weak_only,,,3.6353138501541244,0.9479443650114581,0.9736243449151516,0.0,0.0,0.026375655084848404,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,A_weak_only,XGBoost
MLP_A_weak_only,,,4.395819646986289,0.9754944567069926,0.987671229057014,0.0,0.0,0.012328770942986012,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,A_weak_only,MLP
Mean Predictor_B_gold_only,,,0.3417492937220567,0.08379501385041552,0.2894736842105263,1.0,1.0,0.7105263157894737,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,,,1.0000000100247594e-08,1.0000000100495186e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,B_gold_only,Elastic Net
XGBoost_B_gold_only,,,1.0000000100247594e-08,1.0000000100495186e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,B_gold_only,XGBoost
MLP_B_gold_only,,,1.0000000100247594e-08,1.0000000100495186e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,B_gold_only,MLP
Mean Predictor_C_hybrid,,,0.5943213818122481,0.20076045798292816,0.4480630067110296,1.0,1.0,0.5519369932889704,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,,,2.300179856040743,0.8095665942568718,0.8997591868143786,0.0,0.0,0.10024081318562139,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,C_hybrid,Elastic Net
XGBoost_C_hybrid,,,3.813233880521481,0.9563340392009931,0.9779233299195766,0.0,0.0,0.022076670080423355,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,C_hybrid,XGBoost
MLP_C_hybrid,,,1.549732772456454e-05,2.4016344468691386e-10,1.5497207641601562e-05,1.0,1.0,0.9999845027923584,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,C_hybrid,MLP
Mean Predictor_D_hybrid_unweighted,,,0.5943213818122481,0.20076045798292816,0.4480630067110296,1.0,1.0,0.5519369932889704,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,D_hybrid_unweighted,Mean Predictor
Elastic Net_D_hybrid_unweighted,,,2.650032084293456,0.8636933810085781,0.9293510536974594,0.0,0.0,0.0706489463025406,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,D_hybrid_unweighted,Elastic Net
XGBoost_D_hybrid_unweighted,,,3.6867929217716253,0.9505231780817421,0.9749477822333574,0.0,0.0,0.02505221776664257,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,D_hybrid_unweighted,XGBoost
MLP_D_hybrid_unweighted,,,1.0000000100247594e-08,1.0000000100495186e-16,1.0000000050247593e-08,1.0,1.0,0.99999999,1.0,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,D_hybrid_unweighted,MLP
