model,rmse,mae,r2,pred_mean,true_mean
XGBoost,0.02192058474078106,0.004088247245324009,0.9947796130865418,0.5563440322875977,0.5565511794945298
MLP,0.03281184564947569,0.011944441498988712,0.9883033971975752,0.5556434392929077,0.5565511794945298
Elastic Net,0.1169529986276112,0.07327826194783853,0.8513992007651641,0.5468306761733144,0.5565511794945298
Mean Predictor,0.3046499397874535,0.24217573918148155,-0.008325187134935907,0.5288691586701139,0.5565511794945298
