model,rmse,mae,r2,pred_mean,true_mean,condition,model_base
Mean Predictor_A_weak_only,0.307159408369969,0.24918145320876864,-0.00016811168487995687,0.545820451350889,0.5498026807193741,A_weak_only,Mean Predictor
Elastic Net_A_weak_only,0.15012181446785602,0.11237896277718991,0.7610907478215369,0.5455819796279253,0.5498026807193741,A_weak_only,Elastic Net
XGBoost_A_weak_only,0.005110916580799127,0.0020407810394546715,0.9997230872553892,0.549642589218616,0.5498026807193741,A_weak_only,XGBoost
MLP_A_weak_only,0.34075503977837834,0.27896700994309576,-0.23092030164582855,0.2728156097763541,0.5498026807193741,A_weak_only,MLP
Mean Predictor_B_gold_only,0.3268431010366851,0.28334622177795854,-0.1324629535098112,0.6615853658536586,0.5498026807193741,B_gold_only,Mean Predictor
Elastic Net_B_gold_only,0.37598268848223343,0.2813587272514671,-0.49858388124229935,0.41088633934286073,0.5498026807193741,B_gold_only,Elastic Net
XGBoost_B_gold_only,0.4065312493062958,0.3079974615584,-0.751996475979932,0.29993873792259695,0.5498026807193741,B_gold_only,XGBoost
MLP_B_gold_only,0.6297262916188118,0.5497498795680764,-3.203867417796298,5.2869182675290034e-05,0.5498026807193741,B_gold_only,MLP
Mean Predictor_C_hybrid,0.30713360387837124,0.2492852420828965,-7.030421600440206e-08,0.5498841170140855,0.5498026807193741,C_hybrid,Mean Predictor
Elastic Net_C_hybrid,0.15621328563591244,0.11585762262497006,0.741309015838832,0.5450236461892218,0.5498026807193741,C_hybrid,Elastic Net
XGBoost_C_hybrid,0.056150127305465446,0.016324785917429148,0.9665768906740978,0.5493113289617819,0.5498026807193741,C_hybrid,XGBoost
MLP_C_hybrid,0.2918833760082773,0.2504114659239787,0.09684127750680283,0.7664498514876377,0.5498026807193741,C_hybrid,MLP
