experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,synthetic_proportion,augmentation_method,is_stale,stale_reason,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,2,2,5,success,,0.0,none,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-2__kneg-2__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,2,2,5,success,,0.5,smote_nc,False,,False,,True
stage2__init-A_weak_only__method-anil__kpos-5__kneg-5__steps-3__target-Logistics,anil,A_weak_only,Logistics,5,5,3,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-A_weak_only__method-anil__kpos-5__kneg-5__steps-5__target-Logistics,anil,A_weak_only,Logistics,5,5,5,success,,,,True,infeasible_k_shot(k=10),True,1_row_gold_test_logistics,False
stage2__init-A_weak_only__method-anil__kpos-10__kneg-10__steps-3__target-Logistics,anil,A_weak_only,Logistics,10,10,3,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-A_weak_only__method-anil__kpos-10__kneg-10__steps-5__target-Logistics,anil,A_weak_only,Logistics,10,10,5,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,C_hybrid,Logistics,1,1,3,success,0.5622895622895623,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,C_hybrid,Logistics,1,1,3,success,0.5707070707070707,0.9,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0__gen-none,anil,C_hybrid,Logistics,1,1,3,success,0.559190867003367,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,C_hybrid,Logistics,1,1,3,success,0.559190867003367,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,C_hybrid,Packaging Material,1,1,3,failed,,,,False,,False,,False
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,C_hybrid,Packaging Material,1,1,3,failed,,,,False,,False,,False
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,C_hybrid,Packaging Material,1,1,3,success,0.9899040026248456,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,C_hybrid,Packaging Material,1,1,3,success,0.9899040026248456,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,C_hybrid,Logistics,1,1,5,success,0.5825757575757576,0.9,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0__gen-none,anil,C_hybrid,Logistics,1,1,5,success,0.5805187289562289,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-5__target-Logistics__synprop-0.5__gen-smote_nc,anil,C_hybrid,Logistics,1,1,5,success,0.5805187289562289,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,C_hybrid,Packaging Material,1,1,5,failed,,,,False,,False,,False
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0__gen-none,anil,C_hybrid,Packaging Material,1,1,5,success,0.9848383858963944,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-1__kneg-1__steps-5__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,C_hybrid,Packaging Material,1,1,5,success,0.9848383858963944,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Logistics,anil,C_hybrid,Logistics,2,2,3,success,0.5891991341991342,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,C_hybrid,Logistics,2,2,3,success,0.5428571428571428,1.0,smote_nc,True,synprop_1.0_invalid,False,,False
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,C_hybrid,Logistics,2,2,3,success,0.612987012987013,0.9,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0__gen-none,anil,C_hybrid,Logistics,2,2,3,success,0.5891991341991342,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,C_hybrid,Logistics,2,2,3,success,0.5891991341991342,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,C_hybrid,Packaging Material,2,2,3,failed,,,,False,,False,,False
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,C_hybrid,Packaging Material,2,2,3,failed,,,,False,,False,,False
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,C_hybrid,Packaging Material,2,2,3,success,,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,C_hybrid,Packaging Material,2,2,3,success,,0.5,smote_nc,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Logistics,anil,C_hybrid,Logistics,2,2,5,success,0.6026515151515152,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-anil__kpos-2__kneg-2__steps-5__target-Logistics__synprop-0.9__gen-smote_nc,anil,C_hybrid,Logistics,2,2,5,success,0.612987012987013,0.9,smote_nc,False,,False,,True
