experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,synthetic_proportion,augmentation_method,is_stale,stale_reason,is_diagnostic,diagnostic_reason,is_current_clean
stage2__init-A_weak_only__method-fomaml__kpos-10__kneg-10__steps-5__target-Logistics,fomaml,A_weak_only,Logistics,10,10,5,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-fomaml__kpos-2__kneg-2__steps-3__target-Logistics,fomaml,C_hybrid,Logistics,2,2,3,success,0.529047619047619,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-fomaml__kpos-2__kneg-2__steps-5__target-Logistics,fomaml,C_hybrid,Logistics,2,2,5,success,0.6470238095238094,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-fomaml__kpos-5__kneg-5__steps-3__target-Logistics,fomaml,C_hybrid,Logistics,5,5,3,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-fomaml__kpos-5__kneg-5__steps-5__target-Logistics,fomaml,C_hybrid,Logistics,5,5,5,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-fomaml__kpos-10__kneg-10__steps-3__target-Logistics,fomaml,C_hybrid,Logistics,10,10,3,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-fomaml__kpos-10__kneg-10__steps-5__target-Logistics,fomaml,C_hybrid,Logistics,10,10,5,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-1__target-Logistics,maml,A_weak_only,Logistics,2,2,1,failed,,,,True,architecture_mismatch,False,,False
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-3__target-Logistics,maml,A_weak_only,Logistics,2,2,3,success,0.4107143908352316,,,False,,False,,True
stage2__init-A_weak_only__method-maml__kpos-2__kneg-2__steps-5__target-Logistics,maml,A_weak_only,Logistics,2,2,5,success,0.5438998796345756,,,False,,False,,True
stage2__init-A_weak_only__method-maml__kpos-5__kneg-5__steps-3__target-Logistics,maml,A_weak_only,Logistics,5,5,3,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-A_weak_only__method-maml__kpos-5__kneg-5__steps-5__target-Logistics,maml,A_weak_only,Logistics,5,5,5,success,,,,True,infeasible_k_shot(k=10),True,1_row_gold_test_logistics,False
stage2__init-A_weak_only__method-maml__kpos-10__kneg-10__steps-3__target-Logistics,maml,A_weak_only,Logistics,10,10,3,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-A_weak_only__method-maml__kpos-10__kneg-10__steps-5__target-Logistics,maml,A_weak_only,Logistics,10,10,5,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-maml__kpos-2__kneg-2__steps-3__target-Logistics,maml,C_hybrid,Logistics,2,2,3,success,0.5,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-maml__kpos-2__kneg-2__steps-5__target-Logistics,maml,C_hybrid,Logistics,2,2,5,success,0.5721428571428571,0.0,none,False,,False,,True
stage2__init-C_hybrid__method-maml__kpos-5__kneg-5__steps-3__target-Logistics,maml,C_hybrid,Logistics,5,5,3,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-maml__kpos-5__kneg-5__steps-5__target-Logistics,maml,C_hybrid,Logistics,5,5,5,failed,,,,True,infeasible_k_shot(k=10),False,,False
stage2__init-C_hybrid__method-maml__kpos-10__kneg-10__steps-3__target-Logistics,maml,C_hybrid,Logistics,10,10,3,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-C_hybrid__method-maml__kpos-10__kneg-10__steps-5__target-Logistics,maml,C_hybrid,Logistics,10,10,5,failed,,,,True,infeasible_k_shot(k=20),False,,False
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-1__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,1,failed,,,,True,architecture_mismatch,False,,False
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-3__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,3,failed,,,,True,architecture_mismatch,False,,False
stage2__init-A_weak_only__method-zero_shot__kpos-2__kneg-2__steps-5__target-Logistics,zero_shot,A_weak_only,Logistics,2,2,5,failed,,,,True,architecture_mismatch,False,,False
