supplier_number,Join_Year,article_count,negative_count,positive_count,neutral_count,avg_sentiment_score,avg_relevance_score,max_relevance_score,negative_ratio,has_high_relevance_negative_news
161266,2027,1,1,0,0,-1.0,4.0,4.0,1.0,1
161284,2020,1,0,1,0,1.0,3.0,3.0,0.0,0
161284,2025,4,1,1,2,0.0,3.5,4.0,0.25,1
161284,2026,9,0,5,4,0.5555555555555556,4.388888888888889,5.0,0.0,0
161813,2025,1,0,1,0,1.0,3.5,3.5,0.0,0
162027,2022,1,0,1,0,1.0,4.0,4.0,0.0,0
162027,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
162027,2024,2,1,1,0,0.0,3.0,3.0,0.5,0
162027,2026,4,0,3,1,0.75,4.0,4.5,0.0,0
162027,2027,2,0,2,0,1.0,5.0,5.0,0.0,0
162077,2019,1,0,0,1,0.0,3.0,3.0,0.0,0
162077,2021,5,0,5,0,1.0,3.2399999999999998,3.5,0.0,0
162077,2022,2,0,2,0,1.0,3.25,3.5,0.0,0
162077,2023,1,0,1,0,1.0,3.0,3.0,0.0,0
162077,2024,2,0,2,0,1.0,3.5,4.0,0.0,0
162077,2025,4,0,4,0,1.0,4.325,5.0,0.0,0
162077,2027,2,0,2,0,1.0,4.5,5.0,0.0,0
162506,2026,61,14,27,20,0.21311475409836064,3.955737704918033,5.0,0.22950819672131148,1
162506,2027,38,11,11,16,0.0,3.986842105263158,5.0,0.2894736842105263,1
162526,2025,1,0,0,1,0.0,4.0,4.0,0.0,0
163113,2023,2,0,1,1,0.5,3.0,3.0,0.0,0
163113,2024,1,0,0,1,0.0,3.0,3.0,0.0,0
163113,2025,2,0,2,0,1.0,3.5,4.0,0.0,0
163113,2026,5,0,4,1,0.8,3.8,4.5,0.0,0
163113,2027,10,0,10,0,1.0,4.65,5.0,0.0,0
163204,2021,1,0,1,0,1.0,3.0,3.0,0.0,0
163204,2022,1,0,1,0,1.0,3.5,3.5,0.0,0
163204,2023,5,0,5,0,1.0,3.7399999999999998,4.0,0.0,0
163204,2024,10,0,9,1,0.9,3.2700000000000005,3.5,0.0,0
163204,2025,14,0,11,3,0.7857142857142857,3.8785714285714286,5.0,0.0,0
163204,2026,30,0,28,2,0.9333333333333333,4.036666666666666,5.0,0.0,0
163204,2027,26,0,20,6,0.7692307692307693,4.211538461538462,5.0,0.0,0
165350,2025,2,0,2,0,1.0,4.25,4.5,0.0,0
165350,2026,18,0,18,0,1.0,4.322222222222222,5.0,0.0,0
165350,2027,7,4,2,1,-0.2857142857142857,4.571428571428571,5.0,0.5714285714285714,1
165430,2024,3,0,3,0,1.0,3.1666666666666665,3.5,0.0,0
165430,2025,2,0,2,0,1.0,3.5,4.0,0.0,0
165500,2016,3,0,3,0,1.0,3.0,3.0,0.0,0
165500,2017,1,0,1,0,1.0,3.0,3.0,0.0,0
165500,2018,2,0,2,0,1.0,3.25,3.5,0.0,0
165500,2020,2,0,0,2,0.0,4.0,4.5,0.0,0
165500,2022,13,0,5,8,0.38461538461538464,3.746153846153846,5.0,0.0,0
165500,2023,8,5,2,1,-0.375,3.4375,4.0,0.625,1
165500,2024,3,1,1,1,0.0,3.5,4.0,0.3333333333333333,1
165500,2025,2,0,2,0,1.0,4.5,5.0,0.0,0
165500,2026,6,2,3,1,0.16666666666666666,4.333333333333333,5.0,0.3333333333333333,1
165500,2027,25,19,4,2,-0.6,4.84,5.0,0.76,1
166271,2027,1,0,1,0,1.0,4.5,4.5,0.0,0
17471,2025,1,0,1,0,1.0,4.0,4.0,0.0,0
17471,2027,2,0,2,0,1.0,5.0,5.0,0.0,0
17969,2022,1,1,0,0,-1.0,3.0,3.0,1.0,0
17969,2026,7,0,4,3,0.5714285714285714,4.428571428571429,5.0,0.0,0
17969,2027,3,0,3,0,1.0,5.0,5.0,0.0,0
18387,2016,1,0,1,0,1.0,3.5,3.5,0.0,0
18387,2017,1,0,1,0,1.0,3.0,3.0,0.0,0
18387,2018,1,0,1,0,1.0,3.0,3.0,0.0,0
18387,2019,3,1,1,1,0.0,3.0,3.0,0.3333333333333333,0
18387,2020,2,0,0,2,0.0,3.5,3.5,0.0,0
18387,2021,1,0,1,0,1.0,3.0,3.0,0.0,0
18387,2022,3,0,3,0,1.0,3.3333333333333335,3.5,0.0,0
18387,2023,5,0,3,2,0.6,3.2,4.0,0.0,0
18387,2024,11,1,9,1,0.7272727272727273,3.2181818181818183,3.5,0.09090909090909091,0
18387,2025,13,1,11,1,0.7692307692307693,3.369230769230769,4.0,0.07692307692307693,1
18387,2026,13,0,10,3,0.7692307692307693,3.6538461538461537,4.0,0.0,0
18387,2027,1,0,1,0,1.0,3.0,3.0,0.0,0
19427,2016,1,0,0,1,0.0,3.0,3.0,0.0,0
19427,2018,4,0,3,1,0.75,3.0,3.0,0.0,0
19427,2019,1,0,1,0,1.0,3.0,3.0,0.0,0
19427,2020,1,0,1,0,1.0,3.0,3.0,0.0,0
19427,2023,1,0,0,1,0.0,3.0,3.0,0.0,0
19427,2024,1,0,1,0,1.0,3.0,3.0,0.0,0
19427,2025,6,1,3,2,0.3333333333333333,3.5833333333333335,4.0,0.16666666666666666,1
19427,2026,31,9,7,15,-0.06451612903225806,4.251612903225807,5.0,0.2903225806451613,1
19427,2027,21,1,5,15,0.19047619047619047,3.7714285714285714,5.0,0.047619047619047616,1
19753,2026,2,0,2,0,1.0,4.25,4.5,0.0,0
19753,2027,1,1,0,0,-1.0,5.0,5.0,1.0,1
19768,2026,32,4,18,10,0.4375,4.453125,5.0,0.125,1
19768,2027,61,20,27,14,0.11475409836065574,4.240983606557377,5.0,0.32786885245901637,1
19847,2020,1,0,0,1,0.0,3.5,3.5,0.0,0
19936,2024,1,0,1,0,1.0,3.5,3.5,0.0,0
20055,2020,1,0,0,1,0.0,4.0,4.0,0.0,0
20055,2021,2,0,1,1,0.5,3.0,3.0,0.0,0
20055,2022,1,0,0,1,0.0,3.0,3.0,0.0,0
20055,2024,1,0,0,1,0.0,3.0,3.0,0.0,0
20137,2026,5,0,2,3,0.4,4.4,5.0,0.0,0
21753,2024,2,0,1,1,0.5,3.0,3.0,0.0,0
22055,2024,1,0,0,1,0.0,3.0,3.0,0.0,0
22055,2025,2,0,1,1,0.5,3.5,4.0,0.0,0
22117,2027,1,0,0,1,0.0,3.0,3.0,0.0,0
22684,2021,1,0,1,0,1.0,3.0,3.0,0.0,0
22684,2022,4,0,4,0,1.0,3.25,3.5,0.0,0
22684,2023,2,0,1,1,0.5,3.75,4.5,0.0,0
