iteration,meta_loss,n_skipped,n_valid_tasks
1,94.50315856933594,0,4
2,80.7376708984375,0,4
3,19.87265968322754,0,4
4,1.7628848552703857,0,4
5,8.37247085571289,0,4
6,1.202479362487793,0,4
7,3.3226237297058105,0,4
8,4.51735782623291,0,4
9,1.2768771648406982,0,4
10,0.9964858889579773,0,4
11,0.892555832862854,0,4
12,1.6059759855270386,0,4
13,0.717993438243866,0,4
14,0.6884189248085022,0,4
15,0.7126955986022949,0,4
16,0.701871931552887,0,4
17,0.6749977469444275,0,4
18,0.7624315619468689,0,4
19,0.7993561029434204,0,4
20,0.6947049498558044,0,4
21,0.7144050598144531,0,4
22,0.7279447317123413,0,4
23,0.7419390678405762,0,4
24,0.7048370242118835,0,4
25,0.736221432685852,0,4
26,0.7487892508506775,0,4
27,0.6659941673278809,0,4
28,0.8205724954605103,0,4
29,0.6979490518569946,0,4
30,0.7727673053741455,0,4
31,0.6706662178039551,0,4
32,0.8160183429718018,0,4
33,0.9201582670211792,0,4
34,0.8134724497795105,0,4
35,0.7068653106689453,0,4
36,0.6245002150535583,0,4
37,0.6445721387863159,0,4
38,0.779449462890625,0,4
39,1.4896018505096436,0,4
40,1.5222406387329102,0,4
41,0.948171854019165,0,4
42,0.7631171345710754,0,4
43,0.8358584642410278,0,4
44,0.9292178153991699,0,4
45,0.7206234931945801,0,4
46,0.6616242527961731,0,4
47,0.6813910007476807,0,4
48,0.7551819086074829,0,4
49,0.6542098522186279,0,4
50,1.3823004961013794,0,4
51,1.1481937170028687,0,4
52,1.4348835945129395,0,4
53,0.7304580807685852,0,4
54,1.142073392868042,0,4
55,1.1485422849655151,0,4
56,0.9493985176086426,0,4
57,0.6501781344413757,0,4
58,0.6879189014434814,0,4
59,0.6736728549003601,0,4
60,0.6203169226646423,0,4
61,0.8656779527664185,0,4
62,0.7929856777191162,0,4
63,0.770286500453949,0,4
64,0.8198906183242798,0,4
65,0.6922448873519897,0,4
66,0.8506629467010498,0,4
67,0.979300320148468,0,4
68,0.9599980115890503,0,4
69,0.7656635046005249,0,4
70,0.6275234222412109,0,4
71,0.7922529578208923,0,4
72,0.7083802819252014,0,4
73,0.712192714214325,0,4
74,0.810136616230011,0,4
75,0.680384635925293,0,4
76,0.7184537649154663,0,4
77,0.6206241250038147,0,4
78,0.8047739863395691,0,4
79,0.7130227088928223,0,4
80,0.9748579859733582,0,4
81,0.9416441917419434,0,4
82,0.6942522525787354,0,4
83,0.7945128679275513,0,4
84,0.8157159686088562,0,4
