epoch,train_loss,val_loss,val_rmse,val_mae
1,2.35257308206828,0.6383066177368164,0.47181388572906774,0.47181394696235657
2,0.6915281319125303,0.6556596755981445,0.4809005006980312,0.48090049624443054
3,0.6905415741611227,0.654812753200531,0.4804606553302979,0.48046067357063293
4,0.6916451631225362,0.6725741028785706,0.4896069040779373,0.4896068871021271
5,0.6904695238978871,0.621712327003479,0.4629759247166293,0.46297594904899597
6,0.6907772219868558,0.6586124897003174,0.48243100238767944,0.482431024312973
7,0.6905788352232634,0.6336625814437866,0.46935533538241186,0.4693552851676941
8,0.6902014101161272,0.6394992470741272,0.47244347756504323,0.47244346141815186
9,0.690445342987484,0.6412041187286377,0.47334220858880965,0.4733421206474304
10,0.6902652801056033,0.6282958984375,0.46649984062903527,0.46649983525276184
11,0.6905139271400959,0.6294174790382385,0.4670978836557575,0.46709784865379333
12,0.6910030094142577,0.6250340938568115,0.46475685333218125,0.46475687623023987
13,0.6899631817919386,0.6228935718536377,0.46360986900785395,0.46360981464385986
14,0.6902285288415355,0.6213388442993164,0.46277528444476884,0.46277526021003723
15,0.6900390394753548,0.6190925240516663,0.4615672384133793,0.4615672826766968
16,0.6901394655836809,0.6185309886932373,0.46126478504892543,0.4612647294998169
17,0.6901046651880681,0.6173088550567627,0.4606059223401377,0.4606059789657593
18,0.6901708698635911,0.616065502166748,0.45993487371313563,0.4599348306655884
19,0.6902535088044126,0.6165929436683655,0.46021968099966587,0.46021974086761475
20,0.6902724221559552,0.6169149875640869,0.4603934067105303,0.46039342880249023
21,0.6899764771170922,0.61688232421875,0.46037578300556564,0.4603757858276367
22,0.6901175157419356,0.6162192821502686,0.46001793575046623,0.46001797914505005
23,0.6899728785142286,0.6162545680999756,0.46003691740233116,0.46003687381744385
24,0.6901920549368833,0.6153550744056702,0.4595510190974235,0.45955097675323486
25,0.6900360951485909,0.6156025528907776,0.4596847871483808,0.459684818983078
26,0.6900247783863246,0.6158759593963623,0.4598324185114922,0.4598323702812195
27,0.6899514442559036,0.6163575649261475,0.4600925621686372,0.46009254455566406
28,0.6899471220954588,0.615968644618988,0.4598824986921967,0.45988255739212036
29,0.6900292986106042,0.6161172389984131,0.45996276790311386,0.4599628150463104
30,0.6899527317162307,0.6167855858802795,0.46032368474813967,0.4603237211704254
31,0.6899262343449224,0.6160736680030823,0.4599392312793932,0.459939181804657
32,0.6899457346238561,0.6164700984954834,0.4601533653285437,0.46015340089797974
33,0.6899626318077527,0.6166565418243408,0.46025395222385823,0.46025389432907104
34,0.6899457774561819,0.6164977550506592,0.4601682450912072,0.4601682722568512
