model,rmse,mae,r2,pred_mean,true_mean,condition
Mean Predictor_A_weak_only,0.45998747718497435,0.4599874771849743,0.0,0.5400125228150258,1.0,A_weak_only
Elastic Net_A_weak_only,0.08358354134384835,0.044014967697174126,0.0,0.9559850323028258,1.0,A_weak_only
XGBoost_A_weak_only,0.0006939058819084771,0.00034919652071866125,0.0,0.9996508034792814,1.0,A_weak_only
