real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
5,8,5,8,10,16,13,13,26,4,13,0,smote_nc,0.5,9,8,1,0
6,4,6,4,12,8,10,10,20,4,10,1,smote_nc,0.5,12,7,5,0
5,4,5,4,10,8,9,9,18,4,9,2,smote_nc,0.5,13,8,5,0
6,8,6,8,12,16,14,14,28,4,14,3,smote_nc,0.5,8,7,1,0
6,6,6,6,12,12,12,12,24,4,12,4,smote_nc,0.5,10,7,3,0
3,4,3,4,6,8,7,7,14,4,7,5,smote_nc,0.5,15,10,5,0
7,4,7,4,14,8,11,11,22,4,11,6,smote_nc,0.5,11,6,5,0
6,4,6,4,12,8,10,10,20,4,10,7,smote_nc,0.5,12,7,5,0
7,4,7,4,14,8,11,11,22,4,11,8,smote_nc,0.5,11,6,5,0
6,8,6,8,12,16,14,14,28,4,14,9,smote_nc,0.5,8,7,1,0
9,6,9,6,18,12,15,15,30,4,15,10,smote_nc,0.5,7,4,3,0
5,8,5,8,10,16,13,13,26,4,13,11,smote_nc,0.5,9,8,1,0
5,4,5,4,10,8,9,9,18,4,9,12,smote_nc,0.5,13,8,5,0
6,6,6,6,12,12,12,12,24,4,12,13,smote_nc,0.5,10,7,3,0
9,4,9,4,18,8,13,13,26,4,13,14,smote_nc,0.5,9,4,5,0
5,6,5,6,10,12,11,11,22,4,11,15,smote_nc,0.5,11,8,3,0
5,8,5,8,10,16,13,13,26,4,13,16,smote_nc,0.5,9,8,1,0
9,4,9,4,18,8,13,13,26,4,13,17,smote_nc,0.5,9,4,5,0
3,6,3,6,6,12,9,9,18,4,9,18,smote_nc,0.5,13,10,3,0
3,4,3,4,6,8,7,7,14,4,7,19,smote_nc,0.5,15,10,5,0
