iteration,meta_loss,n_skipped,n_valid_tasks
1,3.7522377967834473,0,4
2,5.501233100891113,0,4
3,2.738536834716797,0,4
4,5.6313886642456055,0,4
5,6.415133476257324,0,4
6,5.833139896392822,0,4
7,1.0688928365707397,0,4
8,2.9490036964416504,0,4
9,4.366868019104004,0,4
10,2.836857795715332,0,4
11,3.3832855224609375,0,4
12,1.336028814315796,0,4
13,0.7885075211524963,0,4
14,2.9358625411987305,0,4
15,1.5360639095306396,0,4
16,1.8904452323913574,0,4
17,0.9134783744812012,0,4
18,1.474747896194458,0,4
19,2.062601327896118,0,4
20,1.4000310897827148,0,4
21,1.2162728309631348,0,4
22,0.8203132152557373,0,4
23,0.7545314431190491,0,4
24,0.9824588298797607,0,4
25,0.879734456539154,0,4
26,0.8654875755310059,0,4
27,0.8312059044837952,0,4
28,0.8575993180274963,0,4
29,0.9074016809463501,0,4
30,0.7353713512420654,0,4
31,1.5113264322280884,0,4
32,1.5951740741729736,0,4
33,0.6844664812088013,0,4
34,1.1887197494506836,0,4
35,1.2863703966140747,0,4
36,1.1060471534729004,0,4
37,1.9658671617507935,0,4
38,1.5119686126708984,0,4
39,0.7458290457725525,0,4
40,0.6526811122894287,0,4
41,0.8237119317054749,0,4
42,0.9865463376045227,0,4
43,0.7673813104629517,0,4
44,0.8027294874191284,0,4
45,0.5664467215538025,0,4
46,2.139035701751709,0,4
47,0.9609960913658142,0,4
48,2.121222972869873,0,4
49,0.7594327926635742,0,4
50,0.9219779968261719,0,4
51,0.8156082034111023,0,4
52,1.4047168493270874,0,4
53,1.4436876773834229,0,4
54,0.7742897272109985,0,4
55,0.9059489965438843,0,4
56,0.8108921051025391,0,4
57,2.076934814453125,0,4
58,1.8758740425109863,0,4
59,1.520873785018921,0,4
60,0.9143073558807373,0,4
61,0.9941666126251221,0,4
62,0.5851187109947205,0,4
63,0.8351432681083679,0,4
64,1.4238122701644897,0,4
65,1.1223235130310059,0,4
66,0.7662415504455566,0,4
67,0.7177292704582214,0,4
68,1.1886751651763916,0,4
69,1.3847334384918213,0,4
70,1.1632568836212158,0,4
71,0.7056140899658203,0,4
72,2.0256030559539795,0,4
73,0.7305115461349487,0,4
74,1.4455457925796509,0,4
75,0.7661629319190979,0,4
76,0.747189462184906,0,4
77,0.7197122573852539,0,4
78,1.4149563312530518,0,4
79,1.6208299398422241,0,4
80,0.5436841249465942,0,4
81,0.9563443660736084,0,4
82,1.016383409500122,0,4
83,0.9814355969429016,0,4
84,1.63810396194458,0,4
85,0.8867909908294678,0,4
86,0.6387866139411926,0,4
87,1.1534698009490967,0,4
88,0.7849210500717163,0,4
89,0.7046413421630859,0,4
90,1.0649911165237427,0,4
91,0.8883105516433716,0,4
92,1.0777372121810913,0,4
93,0.6254258155822754,0,4
94,0.6854934692382812,0,4
95,0.9354206323623657,0,4
96,0.9619687795639038,0,4
97,0.9984439015388489,0,4
98,1.0328811407089233,0,4
99,1.2601488828659058,0,4
100,0.7488052845001221,0,4
101,0.8967428207397461,0,4
102,0.7751511931419373,0,4
103,0.5685015916824341,0,4
104,0.6962472200393677,0,4
105,0.802336573600769,0,4
106,0.819664716720581,0,4
107,0.8234285116195679,0,4
108,0.6772592663764954,0,4
109,0.6716184616088867,0,4
110,0.6671347618103027,0,4
111,0.7722619771957397,0,4
112,0.7373064756393433,0,4
113,0.8044453859329224,0,4
114,0.700122058391571,0,4
115,0.6109335422515869,0,4
116,0.6036001443862915,0,4
117,0.6844355463981628,0,4
118,0.7078806757926941,0,4
119,0.7140284180641174,0,4
120,0.6961029767990112,0,4
121,0.7452629804611206,0,4
122,0.7119467854499817,0,4
123,0.8631573915481567,0,4
124,0.7140058279037476,0,4
125,0.6588940620422363,0,4
126,0.7824451923370361,0,4
127,0.7762465476989746,0,4
128,0.6687520146369934,0,4
129,0.8078740239143372,0,4
130,0.6753712296485901,0,4
131,0.7066283226013184,0,4
132,0.698474645614624,0,4
133,0.7797696590423584,0,4
134,0.6933549642562866,0,4
135,0.718744695186615,0,4
136,0.697323203086853,0,4
137,0.7214441895484924,0,4
138,0.7547423839569092,0,4
139,0.6452394127845764,0,4
140,0.7205026745796204,0,4
141,0.6753553152084351,0,4
142,0.7988561391830444,0,4
143,0.711022138595581,0,4
144,0.6667898893356323,0,4
145,0.6364803314208984,0,4
146,0.6597627997398376,0,4
147,0.6752059459686279,0,4
148,0.6695751547813416,0,4
149,0.7096728682518005,0,4
150,0.7195998430252075,0,4
151,0.9529920220375061,0,4
152,1.0364257097244263,0,4
153,0.7728943824768066,0,4
154,0.6018022894859314,0,4
155,0.7010859847068787,0,4
156,0.6888480186462402,0,4
157,0.6576787233352661,0,4
158,0.6029657125473022,0,4
159,0.6593918204307556,0,4
160,0.4939836263656616,0,4
161,0.9279189705848694,0,4
162,0.8495718240737915,0,4
163,0.9550244808197021,0,4
164,0.683091402053833,0,4
165,0.8367544412612915,0,4
166,0.6972897052764893,0,4
167,0.7501802444458008,0,4
168,0.7496649622917175,0,4
169,0.7411074042320251,0,4
170,0.69609135389328,0,4
171,0.7309654951095581,0,4
172,0.6754464507102966,0,4
173,0.6521546244621277,0,4
174,0.7039666175842285,0,4
175,0.6628230214118958,0,4
176,0.696435809135437,0,4
177,0.6956753134727478,0,4
178,0.6672676801681519,0,4
179,0.6796239614486694,0,4
180,0.664953887462616,0,4
181,0.6600719690322876,0,4
182,0.6123479008674622,0,4
183,0.6231786608695984,0,4
184,0.6477763652801514,0,4
185,0.7862807512283325,0,4
186,0.719279944896698,0,4
187,0.698632001876831,0,4
188,0.5256448984146118,0,4
189,0.649952232837677,0,4
190,0.6950736045837402,0,4
191,0.6610924005508423,0,4
192,0.668825626373291,0,4
193,0.6446921229362488,0,4
194,0.6946586966514587,0,4
195,0.660152018070221,0,4
196,0.6848883628845215,0,4
197,0.6510323286056519,0,4
198,0.6676299571990967,0,4
199,0.6459011435508728,0,4
200,0.6899831891059875,0,4
