model,gold_auroc,gold_ap,gold_logloss,gold_brier,gold_ece,gold_f1,gold_accuracy,gold_pred_mean,gold_true_mean,n_eval_rows,n_positive,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,precision_at_20,recall_at_20,ndcg_at_20,episode_idx
MAML,0.8695652173913043,0.9684572198272327,1.019216374102844,0.203863027964843,0.19967429802335535,0.8846153846153846,0.7931034482758621,0.9927777462992174,0.7931034482758621,29,23,1.0,0.21739130434782608,0.9999999999999999,1.0,0.43478260869565216,1.0,0.95,0.8260869565217391,0.9665625086152865,0
MAML,0.22058823529411764,0.7005058474846393,1.2107052650642796,0.47922197757292556,0.5654600518090385,0.0,0.19047619047619047,0.2440637577147711,0.8095238095238095,42,34,0.4,0.058823529411764705,0.4852285551163225,0.4,0.11764705882352941,0.46664232174566644,0.65,0.38235294117647056,0.6217253971482671,1
MAML,0.3104166666666667,0.6372592036958601,1.032947789880837,0.4016079204103797,0.42793477120551654,0.0,0.3191489361702128,0.2529162926242707,0.6808510638297872,47,32,0.6,0.09375,0.69921481985085,0.6,0.1875,0.6569815082938862,0.55,0.34375,0.6071551706392162,2
MAML,0.24857142857142855,0.6591318489660791,0.5673023767202258,0.1826422619900175,0.06194085147645734,0.875,0.7777777777777778,0.8397186292542351,0.7777777777777778,45,35,0.4,0.05714285714285714,0.31564845247951445,0.4,0.11428571428571428,0.3526637384340435,0.7,0.4,0.5822303133112069,3
MAML,0.25,0.6771178726585567,1.0596101030668894,0.2300030141563715,0.2232537585146287,0.8666666666666667,0.7647058823529411,0.9879596408675698,0.7647058823529411,34,26,0.6,0.11538461538461539,0.639945385422766,0.5,0.19230769230769232,0.5599332595218056,0.65,0.5,0.6390674771299177,4
MAML,0.4444444444444445,0.7216025147233234,0.605462498666153,0.20726869346616406,0.07146641239523888,0.8363636363636363,0.71875,0.6709295958280563,0.71875,32,23,0.8,0.17391304347826086,0.8304198973631918,0.6,0.2608695652173913,0.6687607038361472,0.75,0.6521739130434783,0.746607906673181,5
MAML,0.22939068100358423,0.6488895745440164,2.1253627002447204,0.6773694142220548,0.7076185081154108,0.0,0.225,0.0673814918845892,0.775,40,31,0.4,0.06451612903225806,0.30078518014914984,0.5,0.16129032258064516,0.39449523438077905,0.65,0.41935483870967744,0.5440237332165676,6
MAML,0.203125,0.6718309133073708,2.3282303427169584,0.7146212303858739,0.7441350367851556,0.0,0.2,0.055864963214844465,0.8,40,32,0.4,0.0625,0.36005461457723387,0.5,0.15625,0.44903378752009243,0.65,0.40625,0.5664186911396263,7
MAML,0.26526315789473687,0.4850330119509742,2.602402475343465,0.42972357907422687,0.4293070421977476,0.7246376811594203,0.5681818181818182,0.9974888603795659,0.5681818181818182,44,25,0.6,0.12,0.6164336326286642,0.3,0.12,0.40002324830925196,0.3,0.24,0.3568026961842853,8
MAML,0.27314814814814814,0.5707072560015611,1.7291485800578474,0.36480639969837386,0.3614407500555349,0.7714285714285715,0.627906976744186,0.9893477267997209,0.627906976744186,43,27,0.6,0.1111111111111111,0.69921481985085,0.5,0.18518518518518517,0.5894280199323517,0.35,0.25925925925925924,0.4528836359551285,9
