epoch,train_loss,val_loss,val_rmse,val_mae
1,0.5967061739201678,0.5314030660460534,0.14205841162496802,0.10522893816232681
2,0.5153311179847267,0.5147022597095475,0.10763249989317643,0.06284064054489136
3,0.4963614104284518,0.4745270933145721,0.0975156869174496,0.04691605269908905
4,0.4876619518635796,0.4816565867032799,0.09819571740246569,0.041416481137275696
5,0.4848636631743936,0.4613763910648131,0.07958421804286275,0.03422439470887184
6,0.4782724336577389,0.463163902346494,0.0776721495627533,0.032010577619075775
7,0.47467015749769514,0.46812595669503837,0.08410192734939947,0.03108244203031063
8,0.4742986170176577,0.47943504795769504,0.091826763765788,0.032420918345451355
9,0.47527968109682533,0.4652086110916057,0.07654634762699304,0.02833406813442707
10,0.47166684775997664,0.46540354207165935,0.07546857315046704,0.026167364791035652
