department,n_total_rows,n_pos_rows,n_neg_rows,n_total_contracts,n_pos_contracts,n_neg_contracts,pos_rate_rows,pos_rate_contracts,remaining_contracts_after_support,enough_pos_for_support,enough_neg_for_support,enough_total_for_query,valid_department,validity_reason
Packaging Material,76,54,22,8,6,2,0.7105263157894737,0.75,4,True,True,True,True,valid
Logistics,22,13,9,8,5,3,0.5909090909090909,0.625,4,True,True,True,True,valid
Bioprocessing and Excipients,1,1,0,1,1,0,1.0,1.0,-3,False,False,False,False,insufficient_positive_contracts_for_support|insufficient_negative_contracts_for_support|insufficient_query_contracts
