feature,importance
cat__fin_Status_Active,0.0001182175
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.00011485606
num__missingindicator_LPI_Score,0.00011268235
cat__Risk level_Take caution,0.000111654845
num__esg_industry_min,0.00010941897
num__Infrastructure,0.0001074456
num__price_volatility_score,0.000104418075
num__fin_ebit_margin,0.000103693856
cat__moodys_risk_rating_Take caution,0.00010109341
num__esg_industry_max,9.516376e-05
num__fin_Cash_ratio,9.5105366e-05
cat__fin_closing_date_2021-12-31,9.468066e-05
num__news_row_missing_pct,9.4314164e-05
cat__term_type_fixed,9.181888e-05
cat__company_country_clean_Denmark,9.177411e-05
cat__incoterms_CPT Carriage paid,9.1597496e-05
num__market_log_vol_shock_ratio,9.122693e-05
num__price_trend_slope,9.071003e-05
num__vol_shock_ratio,8.734904e-05
cat__Shares outstanding_414.555.046,8.556712e-05
num__market_cap_volatility,8.416016e-05
cat__company_country_DENMARK,7.903865e-05
num__market_flag_high_volume_shock,7.84036e-05
cat__fin_risk_level_Go ahead,7.81534e-05
num__market_flag_negative_price_trend,7.777328e-05
num__fin_EBITDA_margin,7.6751705e-05
cat__supplier_sector_Business Services,7.62344e-05
cat__contract_commodity_Other Energy Unclassified,7.620083e-05
num__fin_roe_net_income,7.4775584e-05
cat__contract_currency_code_DKK,7.366807e-05
num__missingindicator_fin_roe_net_income,7.22797e-05
num__esg_below_industry_min,7.103765e-05
num__market_flag_stock_price_take_caution_or_worse,7.087829e-05
cat__supplier_sector_Printing & Publishing,7.004546e-05
cat__department_Drug Substance Outsourcing,6.852949e-05
cat__incoterms_CIP Carriage and insurance paid,6.761663e-05
"cat__supplier_sector_Chemicals, Petroleum, Rubber & Plastic",6.75192e-05
cat__expiry_pressure_bucket_5y_plus,6.729272e-05
cat__department_Drug Product Outsourcing,6.623602e-05
num__fin_flag_risk_do_not_source,6.591305e-05
cat__fin_closing_date_2024-12-31,6.5438566e-05
cat__supplier_sector_Waste Management & Treatment,6.510026e-05
cat__company_country_clean_Brazil,6.50207e-05
num__fin_Net_assets_turnover,6.240353e-05
cat__fin_closing_date_2025-12-31,6.1587314e-05
cat__fin_moodys_company_name_Smurfit Westrock Danmark A/S,6.156853e-05
num__fin_flag_gearing_high,6.0555394e-05
cat__fin_moodys_company_name_Novartis Pharma AG,5.9039827e-05
cat__fin_output_text_Approved for sourcing. No further actions required.,5.6074005e-05
cat__fin_moodys_company_name_F.I.S. Fabbrica Italiana Sintetici S.P.A.,5.424542e-05
"cat__supplier_sector_Industrial, Electric & Electronic Machinery",5.272632e-05
cat__incoterms_EXW Ex works,5.2627034e-05
cat__unit_GSOD,5.0389513e-05
"cat__fin_moodys_company_name_Cytiva, Filial af Cytiva Europe GmbH, Tyskland",5.0182658e-05
cat__contract_commodity_Sterilization,4.921178e-05
num__fin_profit_margin,4.9150087e-05
cat__fin_closing_date_2025-03-31,4.856045e-05
cat__nn_contract_type_Confidentiality Agreement,4.657285e-05
cat__contract_commodity_Management Consulting,4.6079345e-05
cat__contract_commodity_Printed Packaging Materials,4.580274e-05
