iteration,meta_loss,n_valid_tasks,n_skipped,n_skipped_this_iteration,n_skipped_cumulative
1,4.856600761413574,4,0,0,0
2,34.77863311767578,4,0,0,0
3,13.191997528076172,4,0,0,0
4,20.376596450805664,4,0,0,0
5,16.83293342590332,4,0,0,0
6,12.618302345275879,4,0,0,0
7,10.549322128295898,4,0,0,0
8,47.637454986572266,4,0,0,0
9,10.188891410827637,4,0,0,0
10,12.33895492553711,4,0,0,0
11,25.782121658325195,4,0,0,0
12,10.409643173217773,4,0,0,0
13,11.515201568603516,4,0,0,0
14,8.513757705688477,4,0,0,0
15,5.459957122802734,4,0,0,0
16,7.009921073913574,4,0,0,0
17,10.266519546508789,4,0,0,0
18,3.654078722000122,4,0,0,0
19,1.9326612949371338,4,0,0,0
20,3.240685224533081,4,0,0,0
21,2.479952335357666,4,0,0,0
22,1.0520260334014893,4,0,0,0
23,2.0566904544830322,4,0,0,0
24,2.332385540008545,4,0,0,0
25,7.3948774337768555,4,0,0,0
26,0.5570100545883179,4,0,0,0
27,1.8597660064697266,4,0,0,0
28,0.5358905792236328,4,0,0,0
29,0.5854421854019165,4,0,0,0
30,0.7388103008270264,4,0,0,0
31,0.7708176374435425,4,0,0,0
32,0.7295142412185669,4,0,0,0
33,0.5713410377502441,4,0,0,0
34,0.6805911064147949,4,0,0,0
35,0.7780336141586304,4,0,0,0
36,1.7228302955627441,4,0,0,0
37,0.7044533491134644,4,0,0,0
38,0.6571497321128845,4,0,0,0
39,0.5757334232330322,4,0,0,0
40,0.6366000175476074,4,0,0,0
41,0.7132371664047241,4,0,0,0
42,2.0139706134796143,4,0,0,0
43,1.2101422548294067,4,0,0,0
44,0.703094482421875,4,0,0,0
45,0.7029698491096497,4,0,0,0
46,0.6421911120414734,4,0,0,0
47,0.7188588976860046,4,0,0,0
48,1.4159520864486694,4,0,0,0
49,0.866686999797821,4,0,0,0
50,0.5938517451286316,4,0,0,0
51,0.5576283931732178,4,0,0,0
52,0.6135373115539551,4,0,0,0
53,0.5583670735359192,4,0,0,0
54,0.6181334257125854,4,0,0,0
55,0.641423225402832,4,0,0,0
56,0.43431970477104187,4,0,0,0
57,0.515373945236206,4,0,0,0
58,0.5207909345626831,4,0,0,0
59,0.5793077349662781,4,0,0,0
60,1.1852926015853882,4,0,0,0
61,0.7091461420059204,4,0,0,0
62,0.5276321172714233,4,0,0,0
63,0.6033881306648254,4,0,0,0
64,1.0207374095916748,4,0,0,0
65,0.7958478331565857,4,0,0,0
66,0.5923843383789062,4,0,0,0
67,0.43622085452079773,4,0,0,0
68,0.5727478265762329,4,0,0,0
69,0.502884566783905,4,0,0,0
70,0.5469363927841187,4,0,0,0
71,0.5021008253097534,4,0,0,0
72,0.3546047508716583,4,0,0,0
73,0.5613285303115845,4,0,0,0
74,0.6119228601455688,4,0,0,0
75,1.4820441007614136,4,0,0,0
76,0.5089700818061829,4,0,0,0
77,0.5248469114303589,4,0,0,0
78,0.7021361589431763,4,0,0,0
79,2.1952080726623535,4,0,0,0
80,0.9262887239456177,4,0,0,0
81,1.1841634511947632,4,0,0,0
82,0.7432626485824585,4,0,0,0
83,0.4966849088668823,4,0,0,0
84,0.44719815254211426,4,0,0,0
85,0.6226897239685059,4,0,0,0
86,0.4828107953071594,4,0,0,0
87,0.3873997926712036,4,0,0,0
88,0.42038556933403015,4,0,0,0
89,0.4133974611759186,4,0,0,0
90,0.4472445249557495,4,0,0,0
91,1.1390241384506226,4,0,0,0
92,0.4511489272117615,4,0,0,0
93,0.4788348376750946,4,0,0,0
94,0.47246843576431274,4,0,0,0
95,0.6966754794120789,4,0,0,0
96,0.4167296290397644,4,0,0,0
97,0.3888387680053711,4,0,0,0
98,0.3500657379627228,4,0,0,0
99,0.39153289794921875,4,0,0,0
100,0.44826269149780273,4,0,0,0
101,0.47204089164733887,4,0,0,0
102,0.5737171173095703,4,0,0,0
103,0.7462218999862671,4,0,0,0
104,0.49563950300216675,4,0,0,0
105,0.4645281136035919,4,0,0,0
106,0.4331308603286743,4,0,0,0
107,0.40254175662994385,4,0,0,0
108,0.4892396032810211,4,0,0,0
109,0.5231877565383911,4,0,0,0
110,0.5657358169555664,4,0,0,0
111,0.3953932523727417,4,0,0,0
112,1.1311304569244385,4,0,0,0
113,0.5025104284286499,4,0,0,0
114,0.49878019094467163,4,0,0,0
115,0.3936272859573364,4,0,0,0
116,0.3595758080482483,4,0,0,0
117,0.2706798017024994,4,0,0,0
118,0.43320032954216003,4,0,0,0
119,0.34642305970191956,4,0,0,0
120,0.4083351790904999,4,0,0,0
121,0.47129660844802856,4,0,0,0
122,0.3045937418937683,4,0,0,0
123,0.783689022064209,4,0,0,0
124,0.40905481576919556,4,0,0,0
125,0.7434382438659668,4,0,0,0
126,0.3935721218585968,4,0,0,0
127,0.34415683150291443,4,0,0,0
128,0.5431193113327026,4,0,0,0
129,0.3078223764896393,4,0,0,0
130,0.39502984285354614,4,0,0,0
131,0.4031869173049927,4,0,0,0
132,0.2835249900817871,4,0,0,0
133,0.2938264310359955,4,0,0,0
134,0.6760204434394836,4,0,0,0
135,0.6255975961685181,4,0,0,0
136,0.4893870949745178,4,0,0,0
137,0.483934611082077,4,0,0,0
138,0.2979569435119629,4,0,0,0
139,0.6763296127319336,4,0,0,0
140,0.5614098310470581,4,0,0,0
141,0.5621638298034668,4,0,0,0
142,0.8463165760040283,4,0,0,0
143,0.20577390491962433,4,0,0,0
144,0.2864527106285095,4,0,0,0
145,0.6101828813552856,4,0,0,0
146,1.401368260383606,4,0,0,0
147,1.0020952224731445,4,0,0,0
148,0.8139454126358032,4,0,0,0
149,0.4976819157600403,4,0,0,0
150,0.31823503971099854,4,0,0,0
151,0.514492928981781,4,0,0,0
152,0.6051285862922668,4,0,0,0
153,0.6674661040306091,4,0,0,0
154,0.5732384324073792,4,0,0,0
155,0.38334450125694275,4,0,0,0
156,0.4506947100162506,4,0,0,0
157,0.5927848219871521,4,0,0,0
158,0.7404539585113525,4,0,0,0
159,0.5834129452705383,4,0,0,0
160,0.24742941558361053,4,0,0,0
161,0.4021714925765991,4,0,0,0
162,0.47196996212005615,4,0,0,0
163,0.5855028629302979,4,0,0,0
164,0.2529539465904236,4,0,0,0
165,0.23337996006011963,4,0,0,0
166,0.440397173166275,4,0,0,0
167,0.47315460443496704,4,0,0,0
168,0.5947452783584595,4,0,0,0
169,0.5769363641738892,4,0,0,0
170,0.5615938901901245,4,0,0,0
171,0.3831166923046112,4,0,0,0
172,0.24810440838336945,4,0,0,0
173,0.2641209661960602,4,0,0,0
174,0.22285152971744537,4,0,0,0
175,0.43256545066833496,4,0,0,0
176,0.1676265448331833,4,0,0,0
177,0.3939673602581024,4,0,0,0
178,0.24634863436222076,4,0,0,0
179,0.34792500734329224,4,0,0,0
180,0.3700527846813202,4,0,0,0
181,0.3329853415489197,4,0,0,0
182,0.3098818361759186,4,0,0,0
183,0.20434118807315826,4,0,0,0
184,0.24534469842910767,4,0,0,0
185,0.16870903968811035,4,0,0,0
186,0.482528954744339,4,0,0,0
187,0.4997178912162781,4,0,0,0
188,0.25487184524536133,4,0,0,0
189,0.4406088590621948,4,0,0,0
190,0.23179283738136292,4,0,0,0
191,0.3849090337753296,4,0,0,0
192,0.33767908811569214,4,0,0,0
193,0.19074468314647675,4,0,0,0
194,0.4293832778930664,4,0,0,0
195,0.08767786622047424,4,0,0,0
196,0.47141724824905396,4,0,0,0
197,0.4724704921245575,4,0,0,0
198,0.2888413071632385,4,0,0,0
199,0.41813987493515015,4,0,0,0
200,0.5232000946998596,4,0,0,0
