iteration,meta_loss,n_skipped
1,8.898752212524414,0
2,8.300556182861328,0
3,4.288718223571777,0
4,0.36330491304397583,0
5,0.1016506478190422,0
6,20.2220516204834,0
7,2.221686601638794,0
8,3.8874590396881104,0
9,0.0005837016506120563,0
10,6.096528053283691,0
11,1.5030862092971802,0
12,10.994817733764648,0
13,12.134610176086426,0
14,5.121842861175537,0
15,5.301412582397461,0
16,0.8216837048530579,0
17,5.050417423248291,0
18,0.7645469307899475,0
19,3.8876943588256836,0
20,2.9295620918273926,0
21,7.691408157348633,0
22,2.3886921405792236,0
23,24.616159439086914,0
24,2.0984535217285156,0
25,0.002471002284437418,0
26,33.906681060791016,0
27,2.4968860149383545,0
28,1.6548824310302734,0
29,5.146598815917969,0
30,0.744573175907135,0
31,2.354480743408203,0
32,0.013423332013189793,0
33,5.856989860534668,0
34,0.000173660708242096,0
35,25.253477096557617,0
36,2.8056907653808594,0
37,1.6638503074645996,0
38,2.3951494693756104,0
39,2.271451711654663,0
40,1.8639657497406006,0
41,0.029221447184681892,0
42,1.6854499578475952,0
43,0.5712496042251587,0
44,4.17209529876709,0
45,1.4348392486572266,0
46,0.6513181328773499,0
47,2.378418207168579,0
48,2.2964067459106445,0
49,0.4508768618106842,0
50,10.079444885253906,0
51,7.02856969833374,0
52,0.6722862124443054,0
53,1.5850344896316528,0
54,0.7654178738594055,0
55,2.6662795543670654,0
56,2.3562979698181152,0
57,8.185803413391113,0
58,6.749596118927002,0
59,3.076158285140991,0
60,22.773921966552734,0
61,5.447246551513672,0
62,0.9580743908882141,0
63,0.7235503196716309,0
64,1.0052995681762695,0
65,0.9794751405715942,0
66,0.004596160724759102,0
67,3.2318427562713623,0
68,2.058439254760742,0
69,34.14308547973633,0
70,0.4108213186264038,0
71,0.5059959292411804,0
72,5.098283615368992e-27,0
73,0.6860476136207581,0
74,10.556221008300781,0
75,0.9533615112304688,0
76,13.171698570251465,0
77,0.013806869275867939,0
78,2.948418140411377,0
79,0.7919122576713562,0
80,1.979559063911438,0
81,0.6801128387451172,0
82,1.0240652561187744,0
83,0.8068392276763916,0
84,0.8402252793312073,0
85,3.0545003414154053,0
86,0.47993311285972595,0
87,0.7815713286399841,0
88,0.7635748982429504,0
89,0.9905025362968445,0
90,0.6476629376411438,0
91,1.2865864038467407,0
92,1.2468907833099365,0
93,0.061989232897758484,0
94,0.48692989349365234,0
95,0.91042160987854,0
96,0.004182265140116215,0
97,2.9914968013763428,0
98,2.840878486633301,0
99,0.26736515760421753,0
100,1.4338003396987915,0
