,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
1062,Morocco,MAR,3.031835,2.637576,3.140404,3.011111,2.886027,3.011027,3.511027,2012,
1063,Morocco,MAR,2.539661,2.328104,2.434603,2.575211,2.489252,2.512709,2.878139,2018,
1064,Mozambique,MOZ,2.29382649732036,2.23077,2.07692,2.25,2.36364,2.0,2.83333,2007,
1065,Mozambique,MOZ,2.292945,1.945647,2.036556,2.769231,2.200556,2.283889,2.396064,2010,
1066,Mozambique,MOZ,2.228925,2.261218,2.153846,2.076923,2.102127,2.076923,2.73718,2014,
1067,Myanmar,MMR,1.8620391744764708,2.07143,1.6875,1.73333,2.0,1.57143,2.08333,2007,
1068,Myanmar,MMR,2.328603,1.9375,1.921875,2.370192,2.014265,2.355174,3.287684,2010,
1069,Myanmar,MMR,2.36822,2.235294,2.099896,2.471082,2.422693,2.33936,2.58936,2012,
1070,Myanmar,MMR,2.249909,1.968452,2.142857,2.141941,2.071429,2.357143,2.834249,2014,
1071,Myanmar,MMR,2.297734,2.166667,1.994689,2.199142,2.279251,2.202327,2.908419,2018,
1072,Namibia,NAM,2.1587626041064887,2.14286,2.0,2.14286,1.83333,1.83333,3.0,2007,
1073,Namibia,NAM,2.020395,1.678571,1.708333,2.196429,2.041667,2.041667,2.375,2010,
1074,Namibia,NAM,2.653033,2.727273,2.716254,2.494031,2.649181,2.848065,2.521458,2012,
1075,Namibia,NAM,2.657883,2.272727,2.570793,2.695793,2.687787,2.559429,3.146642,2014,
1076,Namibia,NAM,2.9,2.8,2.8,3.0,2.9,2.8,2.9,2023,
1077,Nepal,NPL,2.137593252073847,1.83333,1.76923,2.09091,2.08333,2.33333,2.75,2007,
1078,Nepal,NPL,2.203265,2.066667,1.8,2.214603,2.071746,2.258806,2.739236,2010,
1079,Nepal,NPL,2.035439,2.195812,1.86963,1.85989,2.12009,1.950391,2.208121,2012,
1080,Nepal,NPL,2.587906,2.3125,2.261434,2.637305,2.5,2.72354,3.056873,2014,
1081,Nepal,NPL,2.513022,2.289835,2.194139,2.360806,2.464161,2.645979,3.100524,2018,
1082,Netherlands,NLD,4.177695148811235,3.99225,4.29032,4.04878,4.25,4.13636,4.38235,2007,81.0
1083,Netherlands,,4.177695148811235,3.99225,4.29032,4.04878,4.25,4.13636,4.38235,2008,88.2
1084,Netherlands,,4.177695148811235,3.99225,4.29032,4.04878,4.25,4.13636,4.38235,2009,78.6
1085,Netherlands,NLD,4.068615,3.982097,4.248886,3.605821,4.154997,4.120831,4.407749,2010,81.9
1086,Netherlands,,4.068615,3.982097,4.248886,3.605821,4.154997,4.120831,4.407749,2011,90.0
1087,Netherlands,NLD,4.021571,3.845895,4.147512,3.862488,4.047626,4.116703,4.14585,2012,88.7
1088,Netherlands,,4.021571,3.845895,4.147512,3.862488,4.047626,4.116703,4.14585,2013,88.1
1089,Netherlands,NLD,4.047782,3.963995,4.229527,3.641035,4.127404,4.073242,4.336971,2014,86.5
1090,Netherlands,,4.047782,3.963995,4.229527,3.641035,4.127404,4.073242,4.336971,2015,82.7
1091,Netherlands,,4.047782,3.963995,4.229527,3.641035,4.127404,4.073242,4.336971,2016,80.6
1092,Netherlands,,4.047782,3.963995,4.229527,3.641035,4.127404,4.073242,4.336971,2017,84.2
1093,Netherlands,NLD,4.019269,3.917559,4.207611,3.682287,4.087875,4.024758,4.253336,2018,88.2
1094,Netherlands,,4.019269,3.917559,4.207611,3.682287,4.087875,4.024758,4.253336,2019,89.2
1095,Netherlands,,4.019269,3.917559,4.207611,3.682287,4.087875,4.024758,4.253336,2020,87.3
1096,Netherlands,,4.019269,3.917559,4.207611,3.682287,4.087875,4.024758,4.253336,2021,100.0
1097,Netherlands,,4.019269,3.917559,4.207611,3.682287,4.087875,4.024758,4.253336,2022,129.6
1098,Netherlands,NLD,4.1,3.9,4.2,3.7,4.2,4.2,4.0,2023,127.9
1099,Netherlands,,4.1,3.9,4.2,3.7,4.2,4.2,4.0,2024,122.1
1100,Netherlands,,4.1,3.9,4.2,3.7,4.2,4.2,4.0,2025,123.0
1101,New Zealand,NZL,3.7481618781523207,3.56522,3.6087,3.77273,3.81818,3.68182,4.04762,2007,
1102,New Zealand,NZL,3.648133,3.644444,3.541667,3.355556,3.541667,3.666667,4.166667,2010,
1103,New Zealand,NZL,3.42034,3.466576,3.419577,3.272136,3.250808,3.580893,3.553681,2012,
1104,New Zealand,NZL,3.643892,3.921443,3.671443,3.671443,3.555556,3.333333,3.723192,2014,
1105,New Zealand,NZL,3.875644,3.708625,3.990676,3.428905,4.016317,3.916317,4.255307,2018,
1106,New Zealand,NZL,3.6,3.4,3.8,3.2,3.7,3.8,3.8,2023,
1107,Nicaragua,NIC,2.213947776190813,2.14286,1.86207,2.17857,2.40741,2.18519,2.5,2007,
1108,Nicaragua,NIC,2.536625,2.242514,2.233468,2.632611,2.313995,2.50938,3.210973,2010,
1109,Nicaragua,NIC,2.653283,2.663827,2.202562,2.694146,2.580249,2.576957,3.165664,2014,
