method,gold_auroc_mean,gold_auroc_std,gold_logloss_mean,gold_logloss_std,gold_ece_mean,gold_ece_std,ndcg_at_10_mean,ndcg_at_10_std
anil,0.2752839591183993,0.13987513284401762,1.4620192419434992,0.6523972933805081,0.3313704466251208,0.1115348907585129,0.27919337236420383,0.1570244761886451
finetune,0.7772982780171028,0.21637722708109716,1.5185158663346534,0.9454631850126718,0.3709510170020926,0.14508874633564794,0.8915556170645086,0.2848115925460068
fomaml,0.6123710330357368,0.16231846488238919,2.711965302322665,2.308006030787075,0.30166765146144997,0.14248983524007836,0.7226322509283204,0.18278077454858335
maml,0.6010550978111668,0.21429425786933504,3.941546323685924,2.7761046341794993,0.48053485511748273,0.17655006338983795,0.6974400907888649,0.2663131793917842
