method,auroc_mean,auroc_std,ndcg_at_10_mean,ndcg_at_10_std,log_loss_mean,ece_mean,collapse_rate
zero_shot,0.6338,0.1985,0.7888,0.3338,2.0603,0.5855,0.0
maml,0.5439,0.1482,0.678,0.212,1.3681,0.3121,0.95
