method,inner_steps,inner_lr,collapse_rate,auroc_mean,ndcg_at_10_mean
anil,1,,,,
anil,5,0.01,0.0,0.5418,0.6475
anil,3,,,,
anil,5,0.01,,,
anil,3,,,,
anil,5,,,,
fomaml,1,,,,
fomaml,3,0.01,1.0,0.4899,0.6924
fomaml,5,0.01,1.0,0.5025,0.7187
fomaml,3,,,,
fomaml,5,0.01,,,
fomaml,3,,,,
fomaml,5,,,,
maml,1,,,,
maml,3,0.01,0.35,0.4107,0.6865
maml,5,0.01,0.95,0.5439,0.678
maml,3,,,,
maml,5,0.01,,,
maml,3,,,,
maml,5,,,,
