label,auroc_mean,auroc_std,ndcg_at_10_mean,ndcg_at_10_std,log_loss_mean,ece_mean,collapse_rate
Stage 1 (zero-shot),0.634,0.199,0.789,0.334,2.06,0.585,0.0
Stage 2 best (maml),0.591,0.158,0.757,0.161,0.993,0.214,0.7
