model,rmse,mae,r2,pred_mean,true_mean,condition
Mean Predictor_B_gold_only,0.5234550508987555,0.5220588235294118,-0.4613610149942333,0.45588235294117646,0.75,B_gold_only
Elastic Net_B_gold_only,0.343134101937365,0.13057390926689694,0.37204793646740275,0.8651518046925133,0.75,B_gold_only
XGBoost_B_gold_only,0.44211316657673216,0.2378171719610691,-0.04247494432269505,0.9523472897708416,0.75,B_gold_only
