feature,importance
cat__contract_commodity_Side Chains Unclassified,9.377076e-05
cat__team_Bioprocessing and Excipients,8.674235e-05
cat__contract_commodity_Other Clothing and Personal Safety,7.454957e-05
cat__nn_contract_type_Supply Agreement,6.940352e-05
cat__incoterms_EXW Ex works,6.9231515e-05
cat__contract_commodity_Lifescience Chemicals,6.6567896e-05
cat__department_from_cost_center_Drug Product Outsourcing,6.202354e-05
num__PPI_Value,5.9406048e-05
num__news_row_missing_pct,5.701971e-05
cat__fin_moodys_company_name_Catalent Germany Schorndorf GmbH,5.701382e-05
cat__department_Drug Substance Outsourcing,5.4939217e-05
cat__contract_commodity_Moulding and Pre-assembly,5.026706e-05
num__contract_age_years,4.4088618e-05
num__news_negative_ratio,3.6148544e-05
num__missingindicator_fin_Number_of_months,3.523455e-05
num__fin_Cash_ratio,3.3566073e-05
num__fin_flag_moderate_or_worse_rating,3.3092187e-05
num__fin_flag_risk_take_caution_or_worse,3.2491018e-05
cat__contract_commodity_Electronics and Other Components,3.0759846e-05
num__fin_interest_coverage_ratio,2.923286e-05
num__esg_env_weight,2.7904089e-05
cat__expiry_pressure_bucket_3_to_5y,2.7373386e-05
num__esg_row_missing_pct,2.4632021e-05
num__esg_social_score,2.2566652e-05
num__news_positive_count,2.2260921e-05
num__fin_Net_assets_turnover,2.1377817e-05
num__fin_EBITDA_margin,2.0848705e-05
num__observation_year,2.0377758e-05
cat__nn_contract_type_Scope of Work,1.8387756e-05
num__open_ended_contract,1.8292274e-05
num__esg_esg_industry_adjusted,1.7922843e-05
cat__contract_commodity_Workshop Machinery,1.7381046e-05
num__Timeliness,1.4811089e-05
num__fin_roe_net_income,1.46524e-05
num__International_Shipments,1.3029071e-05
num__Customs,1.2712074e-05
num__esg_gov_score,1.1972084e-05
cat__fin_closing_date_2024-09-30,1.1841002e-05
num__missingindicator_fin_interest_coverage_ratio,1.0735039e-05
num__news_avg_relevance_score,1.0713416e-05
num__missingindicator_news_negative_count,1.0464118e-05
num__missingindicator_news_article_count,9.6577005e-06
num__fin_implied_rating_missing_flag,9.419754e-06
"cat__supplier_sector_Travel, Personal & Leisure",9.054363e-06
num__fin_profit_margin,8.4245485e-06
num__missingindicator_esg_esg_overall,8.252738e-06
num__fin_financial_level_missing_flag,7.061451e-06
cat__department_Bioprocessing & Raw Materials,6.723361e-06
cat__fin_moodys_company_name_Elis Danmark A/S,6.542817e-06
cat__Risk level_Take caution,6.4118526e-06
cat__contract_commodity_Other Energy Unclassified,6.0427788e-06
cat__fin_risk_level_Take caution,5.8923206e-06
cat__contract_commodity_Other Drug Product Manufacturing Services,5.3806307e-06
cat__team_Drug Product Outsourcing,4.9847417e-06
num__esg_industry_max,4.827908e-06
cat__fin_Implied_rating - original_Ba1,4.826437e-06
cat__department_Drug Product Outsourcing,4.7608137e-06
num__LPI_Score,4.70043e-06
cat__moodys_risk_rating_Take caution,4.55706e-06
num__fin_flag_short_term_gearing_high,4.3174e-06
cat__fin_closing_date_2024-12-31,4.2301754e-06
num__news_neutral_count,4.1993626e-06
cat__fin_moodys_company_name_Eurofins Biopharma Product Testingdenmark A/S,3.988339e-06
num__esg_social_weight,3.8460157e-06
num__fin_current_ratio_missing_flag,3.4766374e-06
"cat__supplier_sector_Industrial, Electric & Electronic Machinery",3.3130837e-06
cat__Country_Denmark,3.2885475e-06
num__missingindicator_fin_roe_net_income,3.0176623e-06
cat__fin_Implied_rating - original_Baa3,2.7963315e-06
cat__nn_contract_type_Master Service Agreement,2.0357652e-06
num__Infrastructure,1.7678636e-06
cat__supplier_sector_Metals & Metal Products,1.7435808e-06
num__news_article_count,1.4606948e-06
num__missingindicator_Customs,1.29255e-06
num__missingindicator_esg_esg_industry_adjusted,1.2176519e-06
num__esg_industry_min,1.0806832e-06
num__missingindicator_LPI_Score,1.0331242e-06
cat__fin_closing_date_2023-12-31,2.7218186e-07
cat__fin_Implied_rating - original_Aa3,0.0
cat__fin_moodys_company_name_L. Thalund Instrument ApS,0.0
cat__fin_moodys_company_name_Formteknik Group Anderstorp AB,0.0
cat__Country_China,0.0
cat__fin_moodys_company_name_Life Technologies Limited,0.0
cat__fin_moodys_company_name_Lonza Sales AG,0.0
cat__company_country_clean_France,0.0
cat__fin_moodys_company_name_Miclev Medical Products AB,0.0
cat__company_country_clean_Denmark,0.0
cat__fin_moodys_company_name_Millmount Healthcare Limited,0.0
cat__fin_moodys_company_name_Nichepharm Lifesciences Private Limited,0.0
cat__fin_moodys_company_name_Novartis Pharma AG,0.0
cat__fin_moodys_company_name_Omni Mold Ltd.,0.0
cat__company_country_clean_China,0.0
cat__Risk level_stock_closing_price_Take caution,0.0
cat__fin_moodys_company_name_Flextronics International Gesellschaft m.b.H.,0.0
cat__Code_FRA,0.0
cat__fin_moodys_company_name_Flamma S.P.A.,0.0
cat__Country_France,0.0
cat__fin_moodys_company_name_Ashland Industries Europe GmbH,0.0
cat__fin_moodys_company_name_Aspen Oss B.V.,0.0
cat__fin_moodys_company_name_BEWI Denmark A/S,0.0
num__end_year,0.0
cat__fin_Implied_rating - original_B1,0.0
cat__fin_Implied_rating - original_Aaa,0.0
num__fin_Number_of_months,0.0
"cat__notes_Development-only injected negative label for Strategy, Sourcing & Negotiation CoE.",0.0
cat__fin_moodys_company_name_BWT Danmark A/S,0.0
cat__notes_Development-only injected negative label for Packaging Material.,0.0
cat__fin_moodys_company_name_CCL Label A/S,0.0
cat__notes_Development-only injected negative label for Global Strategic Outsourcing & Devices.,0.0
cat__fin_moodys_company_name_Conrum A/S,0.0
cat__label_date_2026-04-18,0.0
cat__Risk level_stock_closing_price_Go ahead,0.0
cat__Code_DNK,0.0
cat__Code_CHN,0.0
cat__fin_moodys_company_name_Quality Assistance,0.0
cat__fin_moodys_company_name_Yara Danmark A/S,0.0
cat__fin_moodys_company_name_RKT Rodinger Kunststoff- Technik GmbH,0.0
cat__fin_closing_date_2025-03-31,0.0
cat__fin_closing_date_2025-06-30,0.0
cat__fin_Implied_rating - original_Baa2,0.0
cat__fin_closing_date_2025-12-31,0.0
cat__fin_created_at_utc_2026-03-12 15:07:22.230528+00:00,0.0
cat__fin_Status_Active,0.0
cat__fin_implied_rating_A,0.0
cat__fin_implied_rating_Aa,0.0
cat__fin_implied_rating_Aaa,0.0
cat__supplier_sector_Miscellaneous Manufacturing,0.0
cat__fin_implied_rating_B,0.0
cat__fin_implied_rating_Baa,0.0
cat__fin_risk_level_Do not source,0.0
cat__fin_risk_level_Go ahead,0.0
cat__Risk level_Go ahead,0.0
cat__Risk level_Do not source,0.0
cat__fin_financial_level_High financial risk,0.0
cat__fin_financial_level_Low financial risk,0.0
cat__fin_financial_level_Medium financial risk,0.0
cat__fin_output_text_Approved for sourcing. No further actions required.,0.0
cat__fin_closing_date_2025-04-30,0.0
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0
cat__fin_moodys_company_name_Schoeller-Plast-Enterprise A/S,0.0
cat__fin_closing_date_2024-06-30,0.0
cat__fin_moodys_company_name_Sonderborg Vaerktojsfabrik A/S,0.0
cat__fin_output_text_Sourcing exclusion recommended. Mitigation actions required. Please follow risk mitigation actions as communicated by your Risk team. Reach out to your risk representative for further guidance.,0.0
cat__Risk level_stock_closing_price_Do not source,0.0
cat__Current_market_capitalisation_DKK_n.a.,0.0
cat__Shares outstanding_n.a.,0.0
cat__fin_Implied_rating - original_Baa1,0.0
cat__fin_Implied_rating - original_A3,0.0
cat__moodys_risk_rating_Go ahead,0.0
cat__fin_closing_date_2022-09-30,0.0
cat__fin_closing_date_2022-12-31,0.0
cat__moodys_risk_rating_Do not source,0.0
cat__fin_closing_date_2023-03-31,0.0
cat__fin_closing_date_2023-04-30,0.0
cat__fin_closing_date_2023-06-30,0.0
cat__fin_closing_date_2023-09-30,0.0
cat__fin_closing_date_2024-03-31,0.0
cat__fin_closing_date_2024-04-30,0.0
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.0
cat__fin_output_text_Use caution. Mitigation actions required. Please follow risk mitigation actions as communicated by your Risk team. Reach out to your risk representative for further guidance.,0.0
"cat__department_Strategy, Sourcing & Negotiation CoE",0.0
num__fin_interest_coverage_ratio_missing_flag,0.0
cat__department_Raw Materials & Energy,0.0
"cat__department_Quality, Production Services & Supplies",0.0
num__missingindicator_news_avg_relevance_score,0.0
num__missingindicator_news_max_relevance_score,0.0
num__missingindicator_news_negative_ratio,0.0
num__missingindicator_avg_vol,0.0
num__missingindicator_vol_stability_score,0.0
num__missingindicator_vol_shock_ratio,0.0
num__missingindicator_vol_trend_slope,0.0
num__missingindicator_market_cap_volatility,0.0
num__missingindicator_Price_trends_52 weeks_%,0.0
num__missingindicator_Earnings_per_share_DKK,0.0
num__missingindicator_avg_closing_price,0.0
num__missingindicator_price_volatility_score,0.0
num__missingindicator_price_trend_slope,0.0
num__missingindicator_Infrastructure,0.0
num__missingindicator_International_Shipments,0.0
num__missingindicator_Tracking_Tracing,0.0
num__missingindicator_Timeliness,0.0
num__missingindicator_fin_implied_rating_ordinal,0.0
