iteration,meta_loss,n_skipped
1,8.898752212524414,0
2,2.0461642742156982,0
3,0.8444737195968628,0
4,0.39862534403800964,0
5,8.149118423461914,0
6,6.825821399688721,0
7,1.648748755455017,0
8,4.283545970916748,0
9,0.454599529504776,0
10,15.197807312011719,0
11,0.21743719279766083,0
12,3.1886281967163086,0
13,9.700652122497559,0
14,8.041620254516602,0
15,9.71631145477295,0
16,2.9235689640045166,0
17,8.073829650878906,0
18,0.7008471488952637,0
19,6.419039726257324,0
20,5.1052470207214355,0
21,1.0818266868591309,0
22,3.001110076904297,0
23,18.239530563354492,0
24,7.6547417640686035,0
25,7.925462245941162,0
26,16.734466552734375,0
27,4.223538875579834,0
28,2.355769395828247,0
29,5.576120376586914,0
30,4.571296691894531,0
31,1.8681715726852417,0
32,0.10676805675029755,0
33,1.8508403301239014,0
34,1.6814682483673096,0
35,15.742846488952637,0
36,2.505187511444092,0
37,0.6128197908401489,0
38,11.97938060760498,0
39,0.8982651829719543,0
40,1.5410231351852417,0
41,3.809885263442993,0
42,1.425850749015808,0
43,1.141189694404602,0
44,3.1431884765625,0
45,29.250158309936523,0
46,0.5782403945922852,0
47,2.4503936767578125,0
48,1.3622726202011108,0
49,2.769392728805542,0
50,41.165069580078125,0
51,5.826512813568115,0
52,2.0261268615722656,0
53,13.31240177154541,0
54,0.0022320931311696768,0
55,1.249855875968933,0
56,7.037387371063232,0
57,2.782268524169922,0
58,1.7872120141983032,0
59,6.973038673400879,0
60,1.5479134321212769,0
61,3.91993216908304e-06,0
62,2.7864930629730225,0
63,2.614988088607788,0
64,0.8824319839477539,0
65,1.623443841934204,0
66,0.056335292756557465,0
67,1.1696823835372925,0
68,2.4900965690612793,0
69,0.03987652808427811,0
70,2.4666571617126465,0
71,0.49292123317718506,0
72,0.009266053326427937,0
73,5.104762554168701,0
74,3.040086269378662,0
75,11.733620643615723,0
76,2.0702028274536133,0
77,0.0005233597476035357,0
78,15.582196235656738,0
79,0.8306019306182861,0
80,0.4881826639175415,0
81,9.462608337402344,0
82,0.7845720052719116,0
83,1.7073614597320557,0
84,2.951503038406372,0
85,0.25417134165763855,0
86,0.7562398910522461,0
87,0.011426064185798168,0
88,0.7492532134056091,0
89,4.828892707824707,0
90,1.0182605981826782,0
91,2.567326545715332,0
92,9.032373428344727,0
93,4.057830333709717,0
94,6.320384979248047,0
95,0.653853178024292,0
96,2.892918586730957,0
97,0.7863613367080688,0
98,3.0807528495788574,0
99,0.5340648889541626,0
100,0.6353256106376648,0
