iteration,meta_loss,n_skipped,n_valid_tasks
1,3.5661087036132812,0,4
2,1.7852733135223389,0,4
3,2.585564613342285,0,4
4,0.9081426858901978,0,4
5,1.9764143228530884,0,4
6,0.7908906936645508,0,4
7,6.521148681640625,0,4
8,4.9165873527526855,0,4
9,2.571213722229004,0,4
10,0.909636378288269,0,4
11,3.5531439781188965,0,4
12,5.688282012939453,0,4
13,6.698282241821289,0,4
14,3.3913021087646484,0,4
15,1.3622790575027466,0,4
16,2.0766897201538086,0,4
17,4.408018112182617,0,4
18,3.9382100105285645,0,4
19,1.3728312253952026,0,4
20,1.8650872707366943,0,4
21,2.7471446990966797,0,4
22,2.339406967163086,0,4
23,0.8411617875099182,0,4
24,2.052600383758545,0,4
25,2.8774189949035645,0,4
26,2.966379165649414,0,4
27,1.3364028930664062,0,4
28,0.7890520691871643,0,4
29,1.2784698009490967,0,4
30,0.92564857006073,0,4
31,0.575379490852356,0,4
32,0.6745814085006714,0,4
33,1.002615213394165,0,4
34,0.9206039309501648,0,4
35,1.0564956665039062,0,4
36,0.6238405704498291,0,4
37,0.818869411945343,0,4
38,1.3286420106887817,0,4
39,1.1957781314849854,0,4
40,1.4609473943710327,0,4
41,1.0548095703125,0,4
42,0.9835074543952942,0,4
43,1.7176835536956787,0,4
44,0.8896878957748413,0,4
45,0.5784204602241516,0,4
46,1.1164342164993286,0,4
47,1.3653481006622314,0,4
48,0.9899283647537231,0,4
49,0.6197181940078735,0,4
50,1.2084788084030151,0,4
51,1.516449213027954,0,4
52,0.8343439698219299,0,4
53,0.7596787214279175,0,4
54,1.4060816764831543,0,4
55,1.321122407913208,0,4
56,0.7058155536651611,0,4
57,0.5747842788696289,0,4
58,0.9389920234680176,0,4
59,0.7467131018638611,0,4
60,1.560642957687378,0,4
61,0.7595193386077881,0,4
62,0.6097442507743835,0,4
63,0.7516717910766602,0,4
64,1.1536370515823364,0,4
65,2.513510227203369,0,4
66,4.136532306671143,0,4
67,3.705629348754883,0,4
68,2.0365848541259766,0,4
69,0.6249149441719055,0,4
70,2.3607242107391357,0,4
71,4.618928909301758,0,4
72,4.970759391784668,0,4
73,5.327886581420898,0,4
74,2.195286750793457,0,4
75,1.8309577703475952,0,4
76,1.1812615394592285,0,4
77,3.5210275650024414,0,4
78,3.9465672969818115,0,4
79,2.833552122116089,0,4
80,1.9774937629699707,0,4
81,2.179675817489624,0,4
82,2.2714521884918213,0,4
83,2.961379289627075,0,4
84,2.7244491577148438,0,4
85,2.428424835205078,0,4
86,1.632978916168213,0,4
87,0.861713707447052,0,4
88,0.6319588422775269,0,4
89,1.4246947765350342,0,4
90,2.572849750518799,0,4
91,2.058605670928955,0,4
92,0.7137988805770874,0,4
93,0.47549498081207275,0,4
94,1.0035343170166016,0,4
95,1.5758470296859741,0,4
96,0.6140618920326233,0,4
97,1.003396987915039,0,4
98,2.523808002471924,0,4
99,3.7380056381225586,0,4
100,3.6122074127197266,0,4
101,4.031421661376953,0,4
102,1.8812265396118164,0,4
103,0.7138795256614685,0,4
104,1.1112921237945557,0,4
105,0.8741992712020874,0,4
106,1.2979393005371094,0,4
