Company name Latin alphabet;Risk level;Date - Current;"Price trends - Last week
%";"Price trends - 4 weeks
%";"Price trends - 13 weeks
%";"Price trends - Quarter to date
%";"Price trends - Previous quarter to date
%";"Price trends - Year to date
%";"Price trends - 52 weeks
%";Date of current beta calculation;Reference index 1;Ref. index 1Beta1 month;Ref. index 1Beta3 months;Ref. index 1Beta1 year;Ref. index 1Beta3 years;Ref. index 1Beta5 years;Ref. index 1Correl. coeff.1 month;Ref. index 1Correl. coeff.3 months;Ref. index 1Correl. coeff.1 year;Ref. index 1Correl. coeff.3 years;Ref. index 1Correl. coeff.5 years;Reference index 2;Ref. index 2Beta1 month;Ref. index 2Beta3 months;Ref. index 2Beta1 year;Ref. index 2Beta3 years;Ref. index 2Beta5 years;Ref. index 2Correl. coeff.1 month;Ref. index 2Correl. coeff.3 months;Ref. index 2Correl. coeff.1 year;Ref. index 2Correl. coeff.3 years;Ref. index 2Correl. coeff.5 years;Reference index 3;Ref. index 3Beta1 month;Ref. index 3Beta3 months;Ref. index 3Beta1 year;Ref. index 3Beta3 years;Ref. index 3Beta5 years;Ref. index 3Correl. coeff.1 month;Ref. index 3Correl. coeff.3 months;Ref. index 3Correl. coeff.1 year;Ref. index 3Correl. coeff.3 years;Ref. index 3Correl. coeff.5 years;Reference index 4;Ref. index 4Beta1 month;Ref. index 4Beta3 months;Ref. index 4Beta1 year;Ref. index 4Beta3 years;Ref. index 4Beta5 years;Ref. index 4Correl. coeff.1 month;Ref. index 4Correl. coeff.3 months;Ref. index 4Correl. coeff.1 year;Ref. index 4Correl. coeff.3 years;Ref. index 4Correl. coeff.5 years;Reference index 5;Ref. index 5Beta1 month;Ref. index 5Beta3 months;Ref. index 5Beta1 year;Ref. index 5Beta3 years;Ref. index 51Beta5 years;Ref. index 5Correl. coeff.1 month;Ref. index 5Correl. coeff.3 months;Ref. index 5Correl. coeff.1 year;Ref. index 5Correl. coeff.3 years;Ref. index 5Correl. coeff.5 years;Date - Current;"Market price - Current
DKK";"Market price - Year to date - High
DKK";"Market price - Year to date - Low
DKK";"Market price - 52 week - High
DKK";"Market price - 52 week - Low
DKK";Shares outstanding;"Current market capitalisation
th DKK";Date of last 12 months - EPS;"Earnings per share
DKK";"Book value per share
DKK";BvD ID number;BvD sectors
ELLA Biotech GmbH Gesellschaft fuer angewandte Biotechnologie;Take caution;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;DE8170686749;Business Services
SA-AL Koleteknik ApS;Take caution;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;DK31583586;Industrial, Electric & Electronic Machinery
Rossum Czech Republic s.r.o.;Do not source;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;CZ05944619;Computer Software
Suzhou Nanomicro Technology Co., Ltd.;Go ahead;04/03/2026;-10;-10;-2;0;-11;-3;19;27/02/2026;SHANGHAI STOCK EXCHANGE COMPOSITE INDEX;1;1;1;1;1;1;0;1;1;1;SHENZHEN STOCK EXCHANGE 100 INDEX;1;1;1;1;1;0;0;0;1;0;CHINEXT PRICE INDEX;1;0;1;1;1;0;0;0;1;1;SSE 180 INDEX;1;1;1;1;1;1;0;0;0;0;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;04/03/2026;23;28;23;29;16;403.815.000;9.409.842;31/12/2024;0;4;CN55792PC;Chemicals, Petroleum, Rubber & Plastic
Rossum LTD;Take caution;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;GB10564783;Computer Software
Multi Color Corp;Take caution;01/07/2019;0;0;0;0;0;41;-25;28/06/2019;DOW JONES INDUSTRIAL AVERAGE;0;0;1;1;1;0;0;0;0;0;NYSE COMPOSITE INDEX;0;0;1;1;1;0;0;0;0;0;S&P 100;0;0;1;1;1;0;0;0;0;0;AMEX COMPOSITE INDEX;0;0;1;n.a.;n.a.;0;0;0;n.a.;n.a.;S&P 500;0;0;1;0;0;0;0;0;0;0;01/07/2019;328;342;218;450;196;20.543.353;6.738.026;31/03/2019;-9;200;US311125853;Printing & Publishing
Autajon Labels Rouen;Take caution;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;FR533358412;Wood, Furniture & Paper Manufacturing
Nomeco A/S;Take caution;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;DK20678232;Wholesale
Smurfit Westrock France;Go ahead;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;FR493254908;Wood, Furniture & Paper Manufacturing
MMP Packetis SAS;Take caution;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;n.a.;n.a.;FR403221930;Wood, Furniture & Paper Manufacturing
