method,AUROC,Log-Loss,ECE,NDCG@10
anil,0.275 ± 0.140,1.462 ± 0.652,0.331 ± 0.112,0.279 ± 0.157
finetune,0.777 ± 0.216,1.519 ± 0.945,0.371 ± 0.145,0.892 ± 0.285
fomaml,0.612 ± 0.162,2.712 ± 2.308,0.302 ± 0.142,0.723 ± 0.183
maml,0.601 ± 0.214,3.942 ± 2.776,0.481 ± 0.177,0.697 ± 0.266
