method,AUROC,Log-Loss,ECE,NDCG@10
anil,0.500 ± 0.000,7.347 ± 1.477,0.399 ± 0.080,0.607 ± 0.069
finetune,0.757 ± 0.105,1.869 ± 1.706,0.311 ± 0.094,0.889 ± 0.137
fomaml,0.730 ± 0.142,4.486 ± 2.745,0.385 ± 0.107,0.840 ± 0.196
maml,0.460 ± 0.231,5.061 ± 3.037,0.406 ± 0.105,0.483 ± 0.258
