view,n_columns,mean_missing_pct
contract_core,3,0.3332971053870956
financial,58,40.0574900029607
esg,13,68.46245809401988
news,11,63.3607018999911
market,14,31.685220550561272
macro_logistics,5,0.7912183458319748
