department,total_rows,total_unique_contracts,real_gold_pos_contracts,real_gold_neg_contracts,real_gold_total_contracts,unlabeled_contracts,threshold_name,threshold_pos,threshold_neg,pseudo_pos_contracts,pseudo_neg_contracts,pseudo_total_contracts,combined_real_plus_pseudo_pos_contracts,combined_real_plus_pseudo_neg_contracts,combined_total_contracts,max_balanced_k,stage2_task_eligible_real_only,stage2_task_eligible_simulation,notes
Logistics,282,94,5,3,8,86,0.95/0.05,0.95,0.05,3,42,45,8,45,53,8,Yes,Yes,
Logistics,282,94,5,3,8,86,0.90/0.10,0.9,0.1,3,58,61,8,61,69,8,Yes,Yes,
Logistics,282,94,5,3,8,86,0.85/0.15,0.85,0.15,5,64,69,10,67,77,10,Yes,Yes,
Logistics,282,94,5,3,8,86,0.80/0.20,0.8,0.2,8,69,77,13,72,85,13,Yes,Yes,
Logistics,282,94,5,3,8,86,0.75/0.25,0.75,0.25,8,73,81,13,76,89,13,Yes,Yes,
Logistics,282,94,5,3,8,86,0.70/0.30,0.7,0.3,8,74,82,13,77,90,13,Yes,Yes,
Packaging Material,1272,289,6,2,8,281,0.95/0.05,0.95,0.05,4,3,7,10,5,15,5,Yes,Yes,
Packaging Material,1272,289,6,2,8,281,0.90/0.10,0.9,0.1,6,8,14,12,10,22,10,Yes,Yes,
Packaging Material,1272,289,6,2,8,281,0.85/0.15,0.85,0.15,18,13,31,24,15,39,15,Yes,Yes,
Packaging Material,1272,289,6,2,8,281,0.80/0.20,0.8,0.2,31,28,59,37,30,67,30,Yes,Yes,
Packaging Material,1272,289,6,2,8,281,0.75/0.25,0.75,0.25,40,44,84,46,46,92,46,Yes,Yes,
Packaging Material,1272,289,6,2,8,281,0.70/0.30,0.7,0.3,47,47,94,53,49,102,49,Yes,Yes,
"Quality, Production Services & Supplies",1044,215,0,0,0,215,0.95/0.05,0.95,0.05,6,3,9,6,3,9,3,No,Yes,
"Quality, Production Services & Supplies",1044,215,0,0,0,215,0.90/0.10,0.9,0.1,7,3,10,7,3,10,3,No,Yes,
"Quality, Production Services & Supplies",1044,215,0,0,0,215,0.85/0.15,0.85,0.15,11,11,22,11,11,22,11,No,Yes,
"Quality, Production Services & Supplies",1044,215,0,0,0,215,0.80/0.20,0.8,0.2,19,23,42,19,23,42,19,No,Yes,
"Quality, Production Services & Supplies",1044,215,0,0,0,215,0.75/0.25,0.75,0.25,27,51,78,27,51,78,27,No,Yes,
"Quality, Production Services & Supplies",1044,215,0,0,0,215,0.70/0.30,0.7,0.3,38,64,102,38,64,102,38,No,Yes,
